probe_id,flux_norm,flux_norm_squared,direct_gap,base_quadratic_value,gram_quadratic_value,weighted_minor_value,maximum_minor_value_abs,identity_residual
106,0.20353101561284923,0.041424874316397874,0.06968623679471322,0.06968623679471328,0.06968623679471327,3.0913741380770382e-18,2.7755575615628914e-17,4.163336342344337e-17
107,0.10689771718494824,0.011427121939353177,0.09968398917175793,0.09968398917175789,0.09968398917175789,3.2019953003659766e-18,1.3877787807814457e-17,4.163336342344337e-17
108,0.06388761953682967,0.004081627930082701,0.10702948318102841,0.10702948318102842,0.10702948318102844,5.078108548565116e-19,2.7755575615628914e-17,2.7755575615628914e-17
109,0.20280655128910005,0.04113049724577837,0.06998061386533273,0.06998061386533276,0.06998061386533277,-1.5012767900123011e-19,1.3877787807814457e-17,4.163336342344337e-17
110,0.14644260899861253,0.02144543773032051,0.0896656733807906,0.08966567338079064,0.0896656733807906,7.558013305524331e-19,1.3877787807814457e-17,0.0
111,0.13425525523301493,0.018024473557681983,0.09308663755342912,0.0930866375534291,0.0930866375534291,-1.9659226255911122e-18,2.7755575615628914e-17,2.7755575615628914e-17
112,0.14369946803075723,0.02064953711232262,0.09046157399878849,0.09046157399878849,0.0904615739987885,-9.24934850547833e-19,2.7755575615628914e-17,1.3877787807814457e-17
113,0.10014587095495014,0.010029195469325526,0.10108191564178558,0.10108191564178559,0.10108191564178562,1.0506222708232795e-18,1.3877787807814457e-17,4.163336342344337e-17
114,0.16401397108548865,0.02690058271123151,0.0842105283998796,0.08421052839987955,0.08421052839987954,3.899720881246584e-19,1.3877787807814457e-17,5.551115123125783e-17
115,0.15199558475203434,0.023102657784112857,0.08800845332699825,0.08800845332699825,0.08800845332699825,-1.8695438120266764e-18,2.7755575615628914e-17,0.0
116,0.1917669773457422,0.0367745736003224,0.0743365375107887,0.0743365375107887,0.0743365375107887,-9.759237328303239e-19,1.3877787807814457e-17,0.0
117,0.1501129892166841,0.02253390953156831,0.0885772015795428,0.08857720157954276,0.08857720157954277,-1.1745558064326304e-18,6.938893903907228e-18,2.7755575615628914e-17
118,0.15819426416981697,0.025025425216229837,0.08608568589488128,0.08608568589488125,0.08608568589488125,-2.7006453953643804e-18,2.7755575615628914e-17,2.7755575615628914e-17
119,0.2882638451696336,0.08309604443198249,0.02801506667912862,0.0280150666791286,0.028015066679128592,1.7883573252964172e-18,1.3877787807814457e-17,2.7755575615628914e-17
120,0.26285758394867537,0.06909410943933492,0.04201700167177619,0.04201700167177614,0.04201700167177613,-4.614673335044611e-19,1.3877787807814457e-17,5.551115123125783e-17
121,0.16664505131353885,0.027770573127291993,0.08334053798381912,0.08334053798381913,0.08334053798381913,-1.9258327395826576e-18,1.3877787807814457e-17,1.3877787807814457e-17
122,0.08449065848594317,0.00713867137138828,0.10397243973972282,0.10397243973972281,0.10397243973972281,5.568934635215435e-20,6.938893903907228e-18,1.3877787807814457e-17
123,0.18793208666850583,0.03531846919957879,0.07579264191153232,0.07579264191153234,0.07579264191153234,-1.324096257388411e-19,2.7755575615628914e-17,2.7755575615628914e-17
124,0.1137417120906829,0.0129371770693198,0.09817393404179131,0.09817393404179131,0.09817393404179131,-3.8425620897286654e-18,1.3877787807814457e-17,0.0
125,0.2544288155474685,0.06473402218088774,0.04637708893022337,0.04637708893022337,0.04637708893022337,3.0256757760570197e-18,1.3877787807814457e-17,0.0
126,0.05553714275981083,0.0030843742259236084,0.10802673688518749,0.10802673688518749,0.10802673688518748,-2.6405440248624375e-18,1.3877787807814457e-17,1.3877787807814457e-17
127,0.07370896068491584,0.005433010885250469,0.10567810022586063,0.10567810022586063,0.10567810022586065,7.98239954015632e-19,1.3877787807814457e-17,1.3877787807814457e-17
128,0.21431333757068805,0.045930206660687686,0.06518090445042342,0.06518090445042339,0.0651809044504234,1.2902377348596963e-18,1.3877787807814457e-17,1.3877787807814457e-17
129,0.0898293314666625,0.008069308791747522,0.10304180231936358,0.10304180231936358,0.10304180231936358,-8.77627749881891e-19,1.3877787807814457e-17,0.0
130,0.2545504129322043,0.06479591272395574,0.046315198387155365,0.04631519838715537,0.04631519838715537,1.230775531791684e-18,1.3877787807814457e-17,6.938893903907228e-18
