actual_index,orientation_type,character,rounded_character,representation_is_identity,orthogonality_max_abs,subspace_leakage_max_abs
200,preserving,-0.9999999999999999,-1,False,8.881784197001252e-16,1.1102230246251565e-15
201,reversing,-2.0000000000000004,-2,False,4.440892098500626e-16,8.326672684688674e-16
202,preserving,-0.9999999999999999,-1,False,7.771561172376096e-16,1.3322676295501878e-15
203,preserving,0.0,0,False,5.551115123125783e-16,1.1657341758564144e-15
204,preserving,1.0000000000000002,1,False,3.443953402548514e-16,1.3322676295501878e-15
205,reversing,0.9999999999999998,1,False,8.881784197001252e-16,1.1657341758564144e-15
206,reversing,0.9999999999999997,1,False,7.771561172376096e-16,1.2177758801357186e-15
207,reversing,1.0000000000000002,1,False,2.220446049250313e-16,1.3322676295501878e-15
208,reversing,-1.0000000000000002,-1,False,6.661338147750939e-16,1.27675647831893e-15
209,preserving,1.9999999999999998,2,False,8.881784197001252e-16,9.43689570931383e-16
210,preserving,-1.0,-1,False,5.551115123125783e-16,1.3322676295501878e-15
211,reversing,1.1102230246251565e-16,0,False,7.771561172376096e-16,1.5126788710517758e-15
212,preserving,-1.0,-1,False,6.661338147750939e-16,1.2732870313669764e-15
213,preserving,-0.9999999999999998,-1,False,5.551115123125783e-16,1.4432899320127035e-15
214,reversing,1.0000000000000002,1,False,3.1060868562430977e-16,1.2212453270876722e-15
215,reversing,1.0000000000000002,1,False,6.661338147750939e-16,1.1657341758564144e-15
216,reversing,0.0,0,False,2.9657551634303194e-16,1.1657341758564144e-15
217,reversing,1.0,1,False,6.661338147750939e-16,1.4432899320127035e-15
218,preserving,-0.9999999999999998,-1,False,3.3306690738754696e-16,1.5265566588595902e-15
219,preserving,1.0,1,False,3.3306690738754696e-16,1.304512053934559e-15
220,preserving,-1.0,-1,False,4.440892098500626e-16,1.27675647831893e-15
221,preserving,-3.469446951953614e-16,0,False,6.661338147750939e-16,1.564691973271641e-15
222,reversing,1.1102230246251565e-16,0,False,4.440892098500626e-16,1.2490009027033011e-15
223,reversing,5.551115123125783e-17,0,False,5.551115123125783e-16,1.3322676295501878e-15
224,reversing,-1.9999999999999998,-2,False,6.661338147750939e-16,1.27675647831893e-15
225,reversing,-1.0,-1,False,4.440892098500626e-16,1.3114509478384662e-15
226,reversing,-0.9999999999999996,-1,False,4.440892098500626e-16,1.3322676295501878e-15
227,preserving,0.9999999999999993,1,False,6.661338147750939e-16,1.4779844015322396e-15
228,preserving,1.0000000000000002,1,False,4.440892098500626e-16,1.27675647831893e-15
229,preserving,-2.220446049250313e-16,0,False,3.3306690738754696e-16,1.3322676295501878e-15
230,preserving,2.0,2,False,4.440892098500626e-16,1.2004286453759505e-15
