coefficient_id,f0_power,f1_power,f2_power,f3_power,determinant_coefficient,candidate_coefficient,residual,coefficient_pass
259,2,2,5,3,6.040578160525426e-06,6.135521244810468e-06,-9.494308428504156e-08,False
260,2,2,4,4,4.372422040193345e-06,3.725985788685381e-06,6.464362515079637e-07,False
261,2,2,3,5,3.6772420993640065e-06,3.7176750000105747e-06,-4.0432900646568184e-08,False
262,2,2,2,6,3.901047909429897e-07,-1.0112464243859196e-07,4.912294333815817e-07,False
263,2,2,1,7,-8.230181887291194e-07,-8.112627602184414e-07,-1.1755428510677996e-08,False
264,2,2,0,8,1.8273127158672575e-06,1.644692484899222e-06,1.8262023096803549e-07,False
265,2,1,9,0,0.0,1.9047753469359224e-08,-1.9047753469359224e-08,False
266,2,1,8,1,-5.551943892100797e-07,-6.041816194777029e-07,4.898723026762316e-08,False
267,2,1,7,2,-1.5387245845326594e-06,-1.49117553617037e-06,-4.7549048362289345e-08,False
268,2,1,6,3,-5.242524365880667e-06,-5.289788903915321e-06,4.726453803465409e-08,False
269,2,1,5,4,-4.0738226552200435e-06,-4.078032959165586e-06,4.210303945542558e-09,False
270,2,1,4,5,-3.3559886871668713e-06,-3.3041965636251882e-06,-5.179212354168306e-08,False
271,2,1,3,6,-2.5420706513099375e-06,-2.6072531878376213e-06,6.518253652768373e-08,False
272,2,1,2,7,1.4530633719908828e-06,1.553582589610745e-06,-1.0051921761986217e-07,False
273,2,1,1,8,-4.574661969145867e-07,-4.899371346038049e-07,3.24709376892182e-08,False
274,2,1,0,9,5.67582910864891e-07,6.180326971760323e-07,-5.04497863111413e-08,False
275,2,0,10,0,0.0,-4.38196762091603e-08,4.38196762091603e-08,False
276,2,0,9,1,0.0,3.3133747665577175e-08,-3.3133747665577175e-08,False
277,2,0,8,2,4.803545876883966e-07,3.060191599483032e-07,1.743354277400934e-07,False
278,2,0,7,3,1.4646933712412813e-06,1.5430568075262012e-06,-7.836343628491996e-08,False
279,2,0,6,4,7.978123646565167e-07,5.042120642814283e-07,2.936003003750884e-07,False
280,2,0,5,5,2.0008206279676813e-06,2.0699496227684364e-06,-6.912899480075513e-08,False
281,2,0,4,6,4.6547475630645037e-07,1.9075482646672169e-07,2.747199298397287e-07,False
282,2,0,3,7,4.957358753723564e-07,5.207773534927738e-07,-2.504147812041736e-08,False
283,2,0,2,8,1.8864794190061345e-07,3.875287681254886e-08,1.498950650880646e-07,False
284,2,0,1,9,-1.1103860729485027e-07,-1.0989643535584391e-07,-1.1421719390063616e-09,False
285,2,0,0,10,6.849476634372113e-08,3.0235082251229164e-08,3.8259684092491966e-08,False
286,1,11,0,0,3.691506693792868e-09,4.120531106850348e-09,-4.290244130574798e-10,True
287,1,10,1,0,1.3510988019191927e-08,1.5283951736275992e-08,-1.7729637170840643e-09,False
288,1,10,0,1,-3.088847659185294e-08,-3.228265526249149e-08,1.3941786706385507e-09,False
289,1,9,2,0,3.073409803317577e-08,3.2881643310625906e-08,-2.1475452774501328e-09,False
290,1,9,1,1,-2.2530950777761606e-08,-1.3578402116615493e-08,-8.952548661146113e-09,False
291,1,9,0,2,1.0438005441114148e-07,1.0510311361152267e-07,-7.230592003811962e-10,False
292,1,8,3,0,2.0803804327467131e-07,2.127890776128667e-07,-4.751034338195379e-09,False
293,1,8,2,1,-3.350103849245619e-07,-3.3654279936329016e-07,1.532414438728242e-09,False
294,1,8,1,2,-1.326934180089845e-07,-1.1399488575341819e-07,-1.8698532255566302e-08,False
295,1,8,0,3,-1.6504542832585892e-07,-1.698214787035619e-07,4.776050377702988e-09,False
296,1,7,4,0,7.085128037329572e-08,7.488010318223334e-08,-4.028822808937619e-09,False
297,1,7,3,1,6.738105830452889e-07,6.993187269313066e-07,-2.5508143886017647e-08,False
298,1,7,2,2,-1.9008156929204687e-07,-1.8068464465331356e-07,-9.396924638733308e-09,False
299,1,7,1,3,2.849479532459232e-07,3.162219276410547e-07,-3.1273974395131504e-08,False
300,1,7,0,4,1.5242853538443205e-07,1.5474869754279996e-07,-2.3201621583679128e-09,False
301,1,6,5,0,3.6833388534728735e-07,3.7445535137214647e-07,-6.121466024859122e-09,False
302,1,6,4,1,-4.9505272708125e-07,-4.950691534196906e-07,1.6426338440565552e-11,True
303,1,6,3,2,4.2423999069978597e-07,4.78585541611747e-07,-5.434555091196105e-08,False
304,1,6,2,3,-1.2595617557965445e-06,-1.2539253429132794e-06,-5.6364128832651495e-09,False
305,1,6,1,4,4.917266281302574e-07,5.31033453352238e-07,-3.9306825221980624e-08,False
306,1,6,0,5,-1.5105095169359055e-07,-1.5801456371496305e-07,6.963612021372498e-09,False
307,1,5,6,0,1.0545856255101177e-07,1.0972445186050807e-07,-4.2658893094962975e-09,False
308,1,5,5,1,1.3357788337332105e-06,1.3686588240721435e-06,-3.287999033893301e-08,False
309,1,5,4,2,-5.170985845104083e-07,-4.991525262704707e-07,-1.7946058239937613e-08,False
310,1,5,3,3,1.1158267801015844e-06,1.1970098996306382e-06,-8.118311952905384e-08,False
311,1,5,2,4,-4.304713182944566e-07,-3.986275887657411e-07,-3.1843729528715504e-08,False
312,1,5,1,5,3.498680078322018e-07,3.8839035178751766e-07,-3.852234395531587e-08,False
313,1,5,0,6,1.2553029767260896e-07,1.2993784536765081e-07,-4.4075476950418515e-09,False
314,1,4,7,0,1.7182428660062195e-07,1.7690597050409038e-07,-5.08168390346843e-09,False
315,1,4,6,1,-2.2126235845130025e-07,-2.2280325803499005e-07,1.5408995836897997e-09,False
316,1,4,5,2,9.087941020039656e-07,9.757363763958965e-07,-6.694227439193091e-08,False
317,1,4,4,3,-2.108220814221351e-06,-2.0905761409016236e-06,-1.7644673319727623e-08,False
318,1,4,3,4,1.7886706757397701e-06,1.88221232561306e-06,-9.354164987328994e-08,False
319,1,4,2,5,-1.3466676215943255e-06,-1.3283943877190157e-06,-1.8273233875309758e-08,False
320,1,4,1,6,1.167353209580821e-06,1.205417500919386e-06,-3.8064291338565064e-08,False
321,1,4,0,7,8.508039771437087e-08,8.014764459956562e-08,4.932753114805257e-09,False
322,1,3,8,0,6.813266931511354e-08,7.102303855180673e-08,-2.8903692366931893e-09,False
323,1,3,7,1,6.519775478885936e-07,6.770232915529833e-07,-2.504574366438966e-08,False
324,1,3,6,2,-2.655546155578891e-07,-2.534121393590878e-07,-1.2142476198801316e-08,False
325,1,3,5,3,8.248033624880073e-07,9.134893796562357e-07,-8.868601716822846e-08,False
326,1,3,4,4,-1.4155955776154183e-06,-1.3698679834702143e-06,-4.5727594145204086e-08,False
327,1,3,3,5,4.0189888370360273e-07,4.845721165772683e-07,-8.267323287366553e-08,False
328,1,3,2,6,-7.530863572348971e-07,-7.140091464005792e-07,-3.907721083431781e-08,False
329,1,3,1,7,3.139843525212618e-07,3.330173118910928e-07,-1.9032959369830962e-08,False
330,1,3,0,8,1.1202763760728883e-07,1.1462936125850641e-07,-2.601723651217578e-09,False
331,1,2,9,0,0.0,1.9382884997229423e-09,-1.9382884997229423e-09,False
332,1,2,8,1,-8.493547810342975e-08,-8.71267626572199e-08,2.1912845537901483e-09,False
333,1,2,7,2,3.8399644039308904e-07,4.246261748377791e-07,-4.0629734444690076e-08,False
334,1,2,6,3,-1.0645057268267717e-06,-1.0587184613366675e-06,-5.787265490104148e-09,False
335,1,2,5,4,1.774832560489678e-06,1.861648117420471e-06,-8.681555693079292e-08,False
336,1,2,4,5,-1.5431315451122355e-06,-1.5180503106203772e-06,-2.508123449185836e-08,False
337,1,2,3,6,2.1132303326697005e-06,2.1854918611035575e-06,-7.226152843385697e-08,False
338,1,2,2,7,-6.593899240124437e-07,-6.433952178875924e-07,-1.5994706124851278e-08,False
339,1,2,1,8,5.47129306961419e-07,5.712667244094546e-07,-2.4137417448035646e-08,False
340,1,2,0,9,1.0892660391561355e-07,1.0781862559250096e-07,1.107978323112588e-09,False
341,1,1,10,0,0.0,9.34781871742021e-10,-9.34781871742021e-10,False
342,1,1,9,1,0.0,8.721348550331184e-09,-8.721348550331184e-09,False
