start_id,root_pass,residual_norm,residual_max_abs,norm_residual,axis_distance,nearest_axis_id,success,status,function_evaluations,f0,f1,f2,f3
126,True,6.68409125145703e-15,4.218847493575595e-15,1.9761969838327786e-14,0.8804857344718326,9,True,1,5,0.019051254620720506,0.6879709387049762,0.6123724356958011,-0.3890154716650259
127,True,1.1102268573734103e-16,1.1102230246251565e-16,0.0,0.41744238123296196,0,True,1,7,-0.42733408740711354,-0.3233080213627911,-2.486364005653137e-15,0.8443088896028553
128,True,1.2412670766236366e-16,1.1102230246251565e-16,0.0,0.842024673785866,1,True,1,6,0.4579639560315345,-0.2800321997267008,0.6454972243679017,0.5433086741673712
129,True,5.623929632534478e-16,4.440892098500626e-16,1.5543122344752192e-15,0.8420246737858655,1,True,1,5,-0.04306617457931987,0.7191481709749331,-0.6454972243679008,0.253583410584857
130,True,3.2158373909089427e-16,2.220446049250313e-16,0.0,0.8420246737858658,3,True,1,8,0.9951413007735664,0.026120507758769132,5.5959743540397915e-16,0.09492897644617392
131,True,2.255941018298854e-16,1.1796119636642288e-16,0.0,0.8420246737858658,3,True,1,8,0.48206209878565276,0.5901898523980315,0.6454972243679044,0.05123869996489809
132,True,4.1685372642251666e-16,3.3306690738754696e-16,2.220446049250313e-16,0.8420246737858657,2,True,1,8,-0.513079201987914,0.5640693446392624,0.645497224367904,-0.043690276481275866
133,True,3.1401849173675503e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,7,True,1,8,-0.07115347657039363,0.36669037731688703,0.6666666666666684,0.6450045778990245
134,True,1.1188630228279524e-16,1.1102230246251565e-16,0.0,0.8420246737858658,2,True,1,8,-0.5130792019879139,0.5640693446392623,0.645497224367904,-0.04369027648127584
135,True,2.254873622441467e-16,2.220446049250313e-16,0.0,0.41744238123296273,6,True,1,8,-0.08646470840275892,0.09401922545534427,0.4564354645876378,0.880540121807218
136,True,2.5438405243138006e-16,2.220446049250313e-16,0.0,0.0,0,True,1,8,0.6934929700486022,0.39524144582917564,0.16666666666666843,-0.5788557006839036
137,True,3.3306690738754696e-16,2.220446049250313e-16,0.0,0.4174423812329614,3,True,1,7,0.6732187779309903,0.5269845365385397,-0.45643546458763634,0.24643547219715178
138,True,2.406863249294257e-16,2.220446049250313e-16,0.0,0.0,9,True,1,12,-1.0149191497989727e-15,-2.4180724580515647e-15,1.0,1.973994748911238e-15
139,True,1.0838898772828417e-16,8.326672684688674e-17,0.0,0.842024673785866,1,True,1,8,-0.06716431733343739,-0.15107388114979917,-0.6454972243679042,0.7456533847873295
140,True,2.7010668570442347e-16,2.220446049250313e-16,0.0,0.4174423812329622,8,True,1,9,0.3104169949195534,0.9258417951924132,3.0191670231379856e-15,0.21554178142532768
141,True,1.8400409389402857e-14,1.6063539387545234e-14,4.218847493575595e-14,0.842024673785852,7,True,1,7,-0.5130792019879042,0.5640693446392693,0.6454972243679066,-0.043690276481263
142,True,4.2655290193893214e-14,3.069766663088558e-14,4.5075054799781356e-14,0.0,0,True,1,6,0.6934929700486238,0.39524144582909293,0.16666666666675714,-0.5788557006839089
143,True,1.9215360033760414e-16,1.9081958235744878e-16,2.220446049250313e-16,0.8420246737858655,3,True,1,7,0.9951413007735666,0.026120507758769222,5.394018009260506e-16,0.09492897644617378
144,True,7.616364613445417e-16,6.661338147750939e-16,6.661338147750939e-16,0.4174423812329617,4,True,1,8,-0.3323493989266366,-0.10965728972040394,0.9128709291752765,-0.21020423999278995
145,True,1.7244233337941968e-15,1.3322676295501878e-15,3.3306690738754696e-15,0.8420246737858647,8,True,1,7,0.482062098785653,0.5901898523980322,0.6454972243679036,0.051238699964899395
146,True,8.513512561909476e-16,6.661338147750939e-16,3.774758283725532e-15,0.41744238123296196,5,True,1,7,0.27633707460867746,-0.3048380331985295,-2.2422296852457706e-15,0.9114338125790433
147,True,2.3055512673781017e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,2,True,1,8,-0.6623824015281943,0.7282103926313336,-0.16666666666666435,-0.056403904401063
148,True,1.1188630228279524e-16,9.71445146547012e-17,0.0,0.842024673785866,2,True,1,6,-0.043066174579319674,0.7191481709749332,-0.6454972243679007,0.25358341058485656
149,True,4.1910000110727263e-16,3.3306690738754696e-16,2.220446049250313e-16,0.8420246737858658,7,True,1,6,0.45796395603153434,-0.28003219972670096,0.6454972243679018,0.5433086741673713
150,True,1.229833914664827e-16,1.1102230246251565e-16,0.0,0.842024673785866,0,True,1,8,0.024098142754118493,0.8702220521247322,3.2038813380510592e-15,-0.4920699742024724
151,True,4.571018665746859e-15,3.03619069686886e-15,9.325873406851315e-15,0.4174423812329561,2,True,1,6,-0.3932541670962414,0.9073718070281507,2.0601044990451877e-15,0.14841685844913272
152,True,2.5447867175859907e-16,2.220446049250313e-16,0.0,0.4174423812329614,7,True,1,7,-0.03897236416252043,0.20084459127653867,0.9128709291752766,0.35328355700939607
