elementary_invariant,coefficient_id,f0_power,f1_power,f2_power,f3_power,target_coefficient,canonical_coefficient,residual,coefficient_pass
e4,17,5,0,2,1,-1.7343781135715132e-05,-1.734378113571888e-05,3.747273758653025e-18,True
e4,18,5,0,1,2,3.56041431031021e-05,3.560414310310286e-05,-7.589415207398531e-19,True
e4,19,5,0,0,3,9.413502566147385e-06,9.413502566142359e-06,5.026293509007018e-18,True
e4,20,4,4,0,0,0.0006522668060078836,0.0006522668060078883,-4.7704895589362195e-18,True
e4,21,4,3,1,0,0.0009320063489488894,0.0009320063489489056,-1.6154612370034016e-17,True
e4,22,4,3,0,1,0.0006503831084705379,0.0006503831084705357,2.2768245622195593e-18,True
e4,23,4,2,2,0,0.0026552179666197075,0.00265521796661972,-1.2576745200831851e-17,True
e4,24,4,2,1,1,0.0014244978950269775,0.0014244978950269842,-6.7220534694101275e-18,True
e4,25,4,2,0,2,0.002255250742113877,0.0022552507421138837,-6.5052130349130266e-18,True
e4,26,4,1,3,0,0.000977637942683805,0.0009776379426838229,-1.7780915628762273e-17,True
e4,27,4,1,2,1,0.0002741049858904691,0.00027410498589046947,-3.7947076036992655e-19,True
e4,28,4,1,1,2,0.00045576557095331003,0.0004557655709533244,-1.4365678785432934e-17,True
e4,29,4,1,0,3,0.0013175161738665016,0.0013175161738665023,-6.505213034913027e-19,True
e4,30,4,0,4,0,0.0012260837676333512,0.0012260837676333534,-2.168404344971009e-18,True
e4,31,4,0,3,1,0.0017071605066322694,0.0017071605066322705,-1.0842021724855044e-18,True
e4,32,4,0,2,2,0.002816522922152976,0.00281652292215298,-3.903127820947816e-18,True
e4,33,4,0,1,3,0.0014144773474476042,0.0014144773474476,4.336808689942018e-18,True
e4,34,4,0,0,4,0.0012441317694935556,0.0012441317694935547,8.673617379884035e-19,True
e4,35,3,5,0,0,-5.52246839524768e-06,-5.522468395227833e-06,-1.984682898711551e-17,True
e4,36,3,4,1,0,-6.426837856291443e-06,-6.426837856289947e-06,-1.4958601848510944e-18,True
e4,37,3,4,0,1,-0.00010584770905643006,-0.00010584770905643473,4.675621868843738e-18,True
e4,38,3,3,2,0,2.7685994728295468e-05,2.7685994728334e-05,-3.853322283649263e-17,True
e4,39,3,3,1,1,0.00048784848294153755,0.0004878484829415401,-2.5478751053409354e-18,True
e4,40,3,3,0,2,-7.442148271347488e-05,-7.442148271343423e-05,-4.064402894105035e-17,True
