elementary_invariant,row,column,row_monomial,column_monomial,numerator,denominator,exact_value,floating_value
e3,17,1,f2^2*f3,f0^2*f1,-33498,9626975,-33498/9626975,-0.003479597692940929
e3,17,2,f2^2*f3,f0^2*f2,-15238,3430537,-15238/3430537,-0.004441870179508339
e3,17,3,f2^2*f3,f0^2*f3,-18487,8013086,-18487/8013086,-0.0023071011592787098
e3,17,4,f2^2*f3,f0*f1^2,-38921,9146971,-38921/9146971,-0.004255069793049524
e3,17,5,f2^2*f3,f0*f1*f2,-44341403502924741913729141,4366977649555140951036498540,-44341403502924741913729141/4366977649555140951036498540,-0.010153796758598422
e3,17,6,f2^2*f3,f0*f1*f3,4339,1888186,4339/1888186,0.0022979727632764994
e3,17,7,f2^2*f3,f0*f2^2,4314,8464865,4314/8464865,0.0005096360071897189
e3,17,8,f2^2*f3,f0*f2*f3,-9277,4588533,-9277/4588533,-0.002021779074052644
e3,17,9,f2^2*f3,f0*f3^2,-14131,9894518,-14131/9894518,-0.0014281645654694853
e3,17,10,f2^2*f3,f1^3,-1281,2903797,-1281/2903797,-0.0004411465402023626
e3,17,11,f2^2*f3,f1^2*f2,-598232257913535091674,331509762731283959422633,-598232257913535091674/331509762731283959422633,-0.0018045690509526616
e3,17,12,f2^2*f3,f1^2*f3,-5344944190444320192821639455,876792986899377400162323001716,-5344944190444320192821639455/876792986899377400162323001716,-0.006096016129583524
e3,17,13,f2^2*f3,f1*f2^2,-81831569274549,21818645189595358,-81831569274549/21818645189595358,-0.003750533938448752
e3,17,14,f2^2*f3,f1*f2*f3,1722428906078896184647,298952608969114655643816,1722428906078896184647/298952608969114655643816,0.005761544988747175
e3,17,15,f2^2*f3,f1*f3^2,13664,5134099,13664/5134099,0.002661421215290161
e3,17,16,f2^2*f3,f2^3,0,1,0,0.0
e3,17,17,f2^2*f3,f2^2*f3,266327,9461306,266327/9461306,0.028149073711388257
e3,18,0,f2*f3^2,f0^3,-2483,9206189,-2483/9206189,-0.00026970986583047554
e3,18,1,f2*f3^2,f0^2*f1,1230,1093981,1230/1093981,0.0011243339692371256
