probe_id,point_norm_squared,e1_direct,e1_canonical,e1_residual,e2_direct,e2_canonical,e2_residual,e3_direct,e3_canonical,e3_residual,e4_direct,e4_canonical,e4_residual,e5_direct,e5_canonical,e5_residual
46,6.6877785011405475,2.786574375475229,2.7865743754752286,4.440892098500626e-16,3.0871442360354386,3.0871442360354364,2.220446049250313e-15,1.7261759993125612,1.7261759993125603,8.881784197001252e-16,0.5088599372602473,0.5088599372602468,4.440892098500626e-16,0.07426265621822024,0.07426265621822013,1.1102230246251565e-16
47,4.824331320603993,2.010138050251666,2.010138050251664,1.7763568394002505e-15,1.631355113135948,1.6313551131359432,4.884981308350689e-15,0.6807034699861838,0.6807034699861811,2.6645352591003757e-15,0.15311865316351256,0.15311865316351178,7.771561172376096e-16,0.017506187607357924,0.01750618760735781,1.1449174941446927e-16
48,4.851297156248109,2.021373815103377,2.021373815103379,2.220446049250313e-15,1.5573017866891259,1.557301786689129,3.1086244689504383e-15,0.5562613622150175,0.5562613622150199,2.3314683517128287e-15,0.08665283159679435,0.08665283159679499,6.38378239159465e-16,0.003943966628741003,0.003943966628741096,9.280770596475918e-17
49,6.981403071500797,2.908917946458665,2.9089179464586654,4.440892098500626e-16,3.3206268529605705,3.320626852960573,2.6645352591003757e-15,1.8707368920927547,1.870736892092756,1.3322676295501878e-15,0.5345317757844195,0.5345317757844207,1.2212453270876722e-15,0.07101976523029364,0.07101976523029385,2.0816681711721685e-16
50,0.2095830315637805,0.08732626315157521,0.08732626315157521,0.0,0.0030925346323183002,0.003092534632318299,1.3010426069826053e-18,5.660673915716812e-05,5.660673915716798e-05,1.3552527156068805e-19,5.6211806847258e-07,5.62118068472578e-07,2.0117032497289633e-21,2.8580633815089054e-09,2.858063381508891e-09,1.4475660719677984e-23
51,0.9678318674898019,0.40326327812075147,0.40326327812075086,6.106226635438361e-16,0.06739009536053146,0.06739009536053123,2.3592239273284576e-16,0.0059727031950964704,0.005972703195096432,3.8163916471489756e-17,0.00029606213965431994,0.00029606213965431793,2.0057740190981832e-18,7.781507077822225e-06,7.781507077822159e-06,6.606856988583543e-20
52,1.71634962072612,0.7151456753025498,0.7151456753025501,3.3306690738754696e-16,0.19323866191854772,0.19323866191854783,1.1102230246251565e-16,0.023672093293335236,0.023672093293335267,3.122502256758253e-17,0.0011737245944202065,0.001173724594420208,1.5178830414797062e-18,9.606462103731105e-06,9.60646210373116e-06,5.421010862427522e-20
53,1.5765789087116868,0.65690787862987,0.6569078786298697,3.3306690738754696e-16,0.16208933387451105,0.1620893338745107,3.608224830031759e-16,0.01786449558214165,0.017864495582141565,8.326672684688674e-17,0.0007542768571970611,0.0007542768571970534,7.697835424647081e-18,1.6229686639728734e-06,1.6229686639725619e-06,3.1149636635276895e-19
54,5.133409416798301,2.1389205903326296,2.138920590332625,4.440892098500626e-15,1.8128501429615174,1.8128501429615094,7.993605777301127e-15,0.767819838013718,0.7678198380137125,5.551115123125783e-15,0.16779263718409926,0.1677926371840974,1.8596235662471372e-15,0.01747661633354543,0.017476616333545147,2.8449465006019636e-16
55,0.9632208064560932,0.4013420026900387,0.40134200269003883,1.1102230246251565e-16,0.06705561664214102,0.06705561664214105,2.7755575615628914e-17,0.0059699862435091625,0.0059699862435091625,0.0,0.0002987135464579825,0.0002987135464579823,2.168404344971009e-19,7.96449724471538e-06,7.964497244715374e-06,6.776263578034403e-21
56,3.327964433202546,1.3866518471677294,1.3866518471677276,1.7763568394002505e-15,0.7779592252993057,0.7779592252993034,2.3314683517128287e-15,0.22513112357785225,0.2251311235778511,1.1657341758564144e-15,0.03528752545101343,0.03528752545101318,2.498001805406602e-16,0.002829034319717729,0.0028290343197177018,2.7321894746634712e-17
57,1.4875381549273061,0.619807564553044,0.6198075645530443,3.3306690738754696e-16,0.15220095257044794,0.15220095257044805,1.1102230246251565e-16,0.018745510174873782,0.018745510174873803,2.0816681711721685e-17,0.0012041239474639704,0.0012041239474639722,1.734723475976807e-18,3.765928516717823e-05,3.765928516717831e-05,8.131516293641283e-20
