row,kernel_column,is_pivot_row,numerator,denominator,exact_value,floating_value
40,9,False,2611,16418,2611/16418,0.15903276891216958
41,0,False,0,1,0,0.0
41,1,False,-2,87933,-2/87933,-2.274458963074159e-05
41,2,False,112,20035,112/20035,0.00559021712003993
41,3,False,-139,56831,-139/56831,-0.0024458482166423256
41,4,False,-1838,93819,-1838/93819,-0.019590914420319978
41,5,False,211,99733,211/99733,0.002115648782248604
41,6,False,10221,42394,10221/42394,0.24109543803368402
41,7,False,-361,57334,-361/57334,-0.00629643841350682
41,8,False,-5179,73503,-5179/73503,-0.0704597091275186
41,9,False,15683,51948,15683/51948,0.3018980518980519
42,0,False,0,1,0,0.0
42,1,False,34,42711,34/42711,0.0007960478565240804
42,2,False,542,46789,542/46789,0.011583919297270725
42,3,False,195,40363,195/40363,0.00483115724797463
42,4,False,-346,24183,-346/24183,-0.014307571434478765
42,5,False,-230,81127,-230/81127,-0.002835061077076682
42,6,False,4583,38984,4583/38984,0.11756105068746152
42,7,False,2016,99517,2016/99517,0.020257845393249395
42,8,False,-2108,83935,-2108/83935,-0.02511467206767141
42,9,False,23453,78981,23453/78981,0.29694483483369416
43,0,False,0,1,0,0.0
43,1,False,708,92191,708/92191,0.007679708431408706
43,2,False,1895,85909,1895/85909,0.02205822440023746
43,3,False,-301,76630,-301/76630,-0.0039279655487407025
43,4,False,-2803,94132,-2803/94132,-0.029777333956571624
43,5,False,29,19533,29/19533,0.001484666973839144
43,6,False,14075,90203,14075/90203,0.15603693890447104
43,7,False,-9956,97485,-9956/97485,-0.10212853259475817
43,8,False,-21,419,-21/419,-0.050119331742243436
43,9,False,14300,51333,14300/51333,0.2785732374885551
44,0,False,0,1,0,0.0
44,1,False,2558,66735,2558/66735,0.038330711021203265
44,2,False,1136,26457,1136/26457,0.042937596855274596
44,3,False,-1117,89249,-1117/89249,-0.012515546392676668
44,4,False,-2053,37956,-2053/37956,-0.05408894509431974
44,5,False,571,41608,571/41608,0.013723322437992694
44,6,False,7645,51603,7645/51603,0.14815030133906942
44,7,False,25047,81130,25047/81130,0.30872673486996177
44,8,False,-3101,51928,-3101/51928,-0.05971730087813896
44,9,False,19980,84757,19980/84757,0.23573274183843224
45,0,False,0,1,0,0.0
45,1,False,-51,77081,-51/77081,-0.0006616416496931799
45,2,False,64,80349,64/80349,0.0007965251589938892
45,3,False,-11,22952,-11/22952,-0.00047926106657371906
45,4,False,99,41662,99/41662,0.0023762661418078824
45,5,False,11,16752,11/16752,0.0006566380133715377
45,6,False,-28,96037,-28/96037,-0.00029155429678144883
45,7,False,-240,63067,-240/63067,-0.0038054767152393486
45,8,False,-1855,66032,-1855/66032,-0.02809244002907681
45,9,False,28547,50438,28547/50438,0.5659819977001467
46,0,False,0,1,0,0.0
46,1,False,-27,15892,-27/15892,-0.0016989680342310597
46,2,False,163,90556,163/90556,0.0017999911656875305
46,3,False,-3,6679,-3/6679,-0.0004491690372810301
46,4,False,25,11806,25/11806,0.0021175673386413687
46,5,False,-120,72467,-120/72467,-0.001655926145693902
46,6,False,39960,92603,39960/92603,0.43151949720851374
46,7,False,1013,58046,1013/58046,0.01745167625676188
46,8,False,-3589,26581,-3589/26581,-0.13502125578420676
46,9,False,4733,8909,4733/8909,0.5312605230665619
47,0,False,0,1,0,0.0
47,1,False,-407,64601,-407/64601,-0.006300212071020573
47,2,False,244,64321,244/64321,0.003793473360177858
47,3,False,-96,95743,-96/95743,-0.001002684269346062
47,4,False,-135,58784,-135/58784,-0.002296543277082199
47,5,False,77,94725,77/94725,0.0008128793877012404
47,6,False,15032,75219,15032/75219,0.1998431247424188
47,7,False,-2421,75260,-2421/75260,-0.03216848259367526
47,8,False,-3583,91436,-3583/91436,-0.0391858786473599
47,9,False,37217,70069,37217/70069,0.5311478685295923
48,0,False,0,1,0,0.0
48,1,False,-851,22815,-851/22815,-0.03730002191540653
48,2,False,169,24685,169/24685,0.00684626291270002
48,3,False,-1347,81302,-1347/81302,-0.016567858109271603
48,4,False,-97,58180,-97/58180,-0.0016672396012375388
48,5,False,767,27680,767/27680,0.027709537572254334
48,6,False,26589,79018,26589/79018,0.336492950973196
48,7,False,16317,76793,16317/76793,0.2124803041943927
48,8,False,-1415,9966,-1415/9966,-0.14198274132048966
48,9,False,41373,78784,41373/78784,0.5251446994313567
49,0,False,0,1,0,0.0
49,1,False,-11422,57163,-11422/57163,-0.19981456536570857
49,2,False,401,22341,401/22341,0.017949062262208496
49,3,False,1036,41705,1036/41705,0.024841146145546097
49,4,False,-171,6188,-171/6188,-0.027634130575307045
49,5,False,-2797,57457,-2797/57457,-0.04867988234679847
49,6,False,10441,36846,10441/36846,0.28336861531780927
49,7,False,-7236,17263,-7236/17263,-0.419162370387534
49,8,False,-545,50838,-545/50838,-0.010720327314213777
49,9,False,63343,94184,63343/94184,0.6725452306124182
50,0,True,1,1,1,1.0
50,1,True,0,1,0,0.0
50,2,True,0,1,0,0.0
50,3,True,0,1,0,0.0
50,4,True,0,1,0,0.0
50,5,True,0,1,0,0.0
50,6,True,0,1,0,0.0
50,7,True,0,1,0,0.0
50,8,True,0,1,0,0.0
50,9,True,0,1,0,0.0
51,0,True,0,1,0,0.0
51,1,True,0,1,0,0.0
51,2,True,0,1,0,0.0
51,3,True,0,1,0,0.0
51,4,True,0,1,0,0.0
51,5,True,0,1,0,0.0
51,6,True,0,1,0,0.0
51,7,True,0,1,0,0.0
51,8,True,0,1,0,0.0
51,9,True,1,1,1,1.0
52,0,False,0,1,0,0.0
52,1,False,369,83474,369/83474,0.004420538131633802
52,2,False,9,18932,9/18932,0.0004753855905345447
52,3,False,289,99561,289/99561,0.002902743041954179
52,4,False,192,27611,192/27611,0.006953750316902684
52,5,False,-545,99961,-545/99961,-0.0054521263292684145
52,6,False,38888,51413,38888/51413,0.7563845719954098
52,7,False,-1135,80229,-1135/80229,-0.014147004200476137
52,8,False,-23420,91473,-23420/91473,-0.2560318345304079
52,9,False,34931,37697,34931/37697,0.9266254609120089
53,0,False,0,1,0,0.0
53,1,False,2812,97573,2812/97573,0.028819448003033626
53,2,False,43,47446,43/47446,0.0009062934704716941
53,3,False,7,69420,7/69420,0.00010083549409392106
53,4,False,193,77287,193/77287,0.002497185813914371
53,5,False,-47,52688,-47/52688,-0.0008920437291223808
53,6,False,3503,10235,3503/10235,0.34225696140693695
53,7,False,3383,83352,3383/83352,0.040586908532488725
53,8,False,-536,9461,-536/9461,-0.05665363069442977
53,9,False,40101,44554,40101/44554,0.9000538672173093
54,0,False,0,1,0,0.0
54,1,False,1142,6465,1142/6465,0.17664346481051818
54,2,False,307,54504,307/54504,0.005632614120064583
54,3,False,78,1181,78/1181,0.06604572396274344
54,4,False,-544,28243,-544/28243,-0.019261409906879582
54,5,False,-3573,29831,-3573/29831,-0.11977473098454627
54,6,False,9526,21781,9526/21781,0.43735365685689365
54,7,False,-50703,98158,-50703/98158,-0.5165447543755985
54,8,False,-3487,97026,-3487/97026,-0.03593882052233422
54,9,False,48217,64489,48217/64489,0.7476778985563429
55,0,True,0,1,0,0.0
55,1,True,1,1,1,1.0
55,2,True,0,1,0,0.0
55,3,True,0,1,0,0.0
55,4,True,0,1,0,0.0
55,5,True,0,1,0,0.0
55,6,True,0,1,0,0.0
