sample_id,source_index,s4,s6,s8,residual_norm_squared,operator_norm,gap_0,gap_1,gap_2,gap_3,gap_4,gap_5,gap_determinant,elementary_1,elementary_2,elementary_3,elementary_4,elementary_5
1098,10981,1.2517363799508425,0.8032688740379983,0.585908497993585,0.12817145561701068,0.30829160062740646,0.01606740009370284,0.016067400093702923,0.08976569423401748,0.0897656942340175,0.10250023900561323,0.10250023900561324,2.185555102558644e-08,0.4166666666666672,0.0679832153522617,0.005416596955529485,0.00021264790718105545,3.633879233151579e-06
1099,10991,0.9984042981246037,0.4187066721519652,0.1791712809101438,0.02336573235050215,0.25843920736581555,0.04432028720724011,0.044320287207240246,0.05654270546339679,0.05654270546339682,0.10747034066269667,0.1074703406626967,7.253298536795645e-08,0.4166666666666673,0.07009431603414706,0.0060993761081073565,0.0002903260059902579,7.1885513552637795e-06
1100,11001,1.0685698065381866,0.5441276771943919,0.29605483641576463,0.08415442685211763,0.28516544864917237,0.02979177800782735,0.02979177800782745,0.0739433746598157,0.07394337465981572,0.10459818066569022,0.10459818066569025,5.309329052500162e-08,0.4166666666666667,0.06950960346403365,0.005899761645280826,0.0002663998425428984,6.015529909761787e-06
1101,11011,1.4659752561378312,1.056925257157593,0.8133601117164387,0.04507039765158864,0.3235377137313945,0.006434458904573314,0.006434458904573387,0.09133995850000147,0.09133995850000148,0.11055891592875867,0.11055891592875869,4.222145797628721e-09,0.41666666666666696,0.06619789138403673,0.004878938083079725,0.00015697848478385103,1.4811818239516563e-06
1102,11021,1.3713439207223161,0.9157963020105147,0.6573824503431727,0.06400900671389234,0.3155947626797532,0.011511056880221311,0.011511056880221533,0.08582024816408013,0.08582024816408014,0.11100202828903175,0.11100202828903176,1.2024631080852896e-08,0.41666666666666663,0.06698648584583253,0.005132586271893846,0.00018473818775059328,2.5861158186384063e-06
1103,11031,1.2973443450849493,0.8691337080302672,0.6666578095577089,0.13003703149398615,0.31264193766412185,0.013366129924734451,0.013366129924734538,0.09451308426101061,0.09451308426101064,0.10045411914758808,0.10045411914758809,1.610388749810773e-08,0.4166666666666664,0.06760314897614385,0.005295546186396504,0.00019928994710486405,3.071053564994976e-06
1104,11041,1.2064891500231592,0.7044415274439952,0.44789732164107726,0.08872622049970523,0.3006858120975295,0.020699153514360302,0.02069915351436044,0.0794377248415101,0.07943772484151013,0.10819645497746287,0.10819645497746294,3.165080995114402e-08,0.4166666666666668,0.06836027560165892,0.005555292203503326,0.00022984698486449903,4.440107203621615e-06
1105,11051,1.1450498384024608,0.6353838616922436,0.3923286447818667,0.09374628021400658,0.2946912442524217,0.024268181672070666,0.02426818167207073,0.0778137323354591,0.07781373233545917,0.1062514193258036,0.10625141932580363,4.025839425390198e-08,0.4166666666666669,0.06887226986516479,0.005707434076366714,0.00024577581752537227,5.110324858082827e-06
1106,11061,1.0456913761774038,0.43992186398212096,0.18600476597328092,0.0021047227513811355,0.25808455983991124,0.04450347108335034,0.04450347108335039,0.052720516553953434,0.052720516553953475,0.11110934569602948,0.11110934569602948,6.795920108362057e-08,0.41666666666666663,0.06970025705037347,0.00600002122736316,0.00028151012740628686,6.8554860878792506e-06
1107,11071,1.319874250986683,0.8626656789168683,0.6235525472226312,0.09041883086589592,0.31223841424427023,0.013618283781334652,0.01361828378133473,0.08622821929246151,0.08622821929246158,0.10848683025953701,0.10848683025953706,1.6229219547151037e-08,0.4166666666666665,0.0674153997602961,0.0052574174879377765,0.00019723231783684228,3.0590628632193453e-06
