probe_id,f0,f1,f2,f3,sigma,target_gap,quadratic_relation_score
108,0.24826662139834194,0.644100911314932,-0.7007024605764836,0.1803157299982119,0.29688051393806747,0.036452819395265845,0.0
109,-0.2707333425990975,0.5863133803738191,0.467941215162245,-0.6033001710195569,0.29116781845577594,0.042165514877557375,0.0
110,0.3255198141372344,0.08345834286551193,-0.675069503251107,0.65677448290148,0.31253989122832365,0.020793442105009663,0.0
111,-0.6958124842290391,-0.026332326199916437,-0.6177218162310678,0.3654741483882343,0.33111726424449806,0.0022160690888352597,0.0
112,0.7995435294245488,0.03180715376464241,0.5720635648002692,0.18017138327918966,0.29065785489085666,0.042675478442476655,0.0
113,-0.18201571458327526,-0.08533345109277192,0.21883246413778285,0.9548302647113377,0.33165600799566675,0.0016773253376665687,0.0
114,0.12575561435268706,0.7173274199183189,-0.12255087641503452,0.6742463798805396,0.29265226655432036,0.04068106677901295,0.0
115,-0.42439459580581396,0.3210143741380731,0.7358684578918759,-0.41873214747305193,0.3052409878089591,0.02809234552437423,0.0
116,0.838812913440943,-0.07048170873261744,-0.3070566472989772,0.44400612645363247,0.3193069620937759,0.014026371239557411,0.0
117,-0.683553099461424,0.42018399438660625,-0.557165076044924,0.21393374935678364,0.3301976779240494,0.0031356554092838995,0.0
118,0.8365168100140234,0.3570869810574745,-0.3527032711720852,0.21983838843052816,0.3211562511170077,0.01217708221632563,0.0
