group_index,source_line,target_line,projective_distance,action_pass
20,2,3,0.0,True
20,3,1,0.0,True
20,4,2,0.0,True
20,5,0,0.0,True
20,6,9,0.0,True
20,7,5,0.0,True
20,8,7,0.0,True
20,9,6,0.0,True
20,10,28,0.0,True
20,11,12,0.0,True
20,12,11,0.0,True
20,13,29,0.0,True
20,14,10,0.0,True
20,15,16,1.4901161193847656e-08,True
20,16,20,0.0,True
20,17,15,0.0,True
20,18,19,0.0,True
20,19,24,0.0,True
20,20,17,0.0,True
20,21,21,0.0,True
20,22,13,0.0,True
20,23,23,0.0,True
20,24,27,0.0,True
20,25,22,0.0,True
20,26,14,0.0,True
20,27,18,0.0,True
20,28,26,0.0,True
20,29,25,0.0,True
21,0,9,0.0,True
21,1,5,0.0,True
21,2,6,0.0,True
21,3,0,0.0,True
21,4,3,0.0,True
21,5,8,0.0,True
21,6,1,0.0,True
21,7,4,0.0,True
21,8,2,0.0,True
21,9,7,0.0,True
21,10,28,0.0,True
21,11,15,0.0,True
21,12,19,0.0,True
21,13,29,0.0,True
21,14,26,0.0,True
21,15,24,0.0,True
21,16,17,0.0,True
21,17,27,0.0,True
21,18,20,0.0,True
21,19,16,0.0,True
21,20,11,0.0,True
21,21,13,0.0,True
21,22,25,0.0,True
21,23,10,0.0,True
21,24,18,0.0,True
21,25,21,0.0,True
21,26,23,0.0,True
21,27,12,2.1073424255447017e-08,True
21,28,14,0.0,True
21,29,22,0.0,True
22,0,8,0.0,True
22,1,4,0.0,True
22,2,2,0.0,True
22,3,1,0.0,True
22,4,3,0.0,True
22,5,9,0.0,True
22,6,0,0.0,True
22,7,5,0.0,True
22,8,6,0.0,True
22,9,7,1.4901161193847656e-08,True
22,10,28,0.0,True
22,11,21,0.0,True
22,12,11,0.0,True
22,13,29,0.0,True
22,14,14,0.0,True
22,15,24,0.0,True
22,16,20,0.0,True
22,17,22,0.0,True
22,18,17,0.0,True
22,19,16,1.4901161193847656e-08,True
22,20,19,0.0,True
22,21,12,2.1073424255447017e-08,True
22,22,18,0.0,True
22,23,23,0.0,True
22,24,25,0.0,True
22,25,15,0.0,True
22,26,10,0.0,True
22,27,13,0.0,True
22,28,26,0.0,True
22,29,27,0.0,True
23,0,9,0.0,True
23,1,5,0.0,True
23,2,3,0.0,True
23,3,0,0.0,True
23,4,6,0.0,True
23,5,1,0.0,True
23,6,8,0.0,True
23,7,4,0.0,True
23,8,7,0.0,True
23,9,2,0.0,True
