actual_index,actual_order,actual_cycle_type,s5_permutation,d8_rotation,d8_flip,orientation_type,character,rounded_character,representation_is_identity
457,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 2 1 3 4,1,0,preserving,2.220446049250313e-16,0,False
458,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,1 3 0 2 4,3,0,preserving,8.881784197001252e-16,0,False
459,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 1,3 1 2 0 4,1,1,reversing,-1.6653345369377348e-15,0,False
460,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,2 0 3 1 4,3,1,reversing,4.718447854656915e-16,0,False
461,6,6 6 6 6 6 6 6 6 6 6,0 3 1 2 4,2,1,reversing,-4.85722573273506e-17,0,False
462,6,6 6 6 6 6 6 6 6 6 6,1 2 0 3 4,0,1,reversing,-1.186550857568136e-15,0,False
463,3,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,3 0 2 1 4,0,0,preserving,4.3021142204224816e-16,0,False
464,6,6 6 6 6 6 6 6 6 6 6,0 2 4 3 1,2,0,preserving,-1.4432899320127035e-15,0,False
465,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 2 1 1,3 0 2 4 1,1,0,preserving,-1.942890293094024e-16,0,False
466,12,12 12 12 12 12,2 4 3 0 1,3,0,preserving,-1.1102230246251565e-15,0,False
467,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,4 2 0 3 1,1,1,reversing,2.7755575615628914e-16,0,False
468,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 3 4 2 1,3,1,reversing,-1.2420620087993939e-15,0,False
469,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,3 4 2 0 1,2,1,reversing,7.216449660063518e-16,0,False
470,10,10 10 10 10 10 10,2 0 3 4 1,0,1,reversing,3.3306690738754696e-16,0,False
471,5,5 5 5 5 5 5 5 5 5 5 5 5,4 3 0 2 1,0,0,preserving,1.9999999999999993,2,False
472,10,10 10 10 10 10 10,3 0 1 4 2,2,0,preserving,1.9999999999999987,2,False
473,6,6 6 6 6 6 6 6 6 6 3 3,3 4 1 0 2,3,1,reversing,6.175615574477433e-16,0,False
474,6,6 6 6 6 6 6 6 6 6 6,4 1 0 3 2,2,1,reversing,1.609823385706477e-15,0,False
475,12,12 12 12 12 12,4 3 0 1 2,1,0,preserving,-1.6653345369377348e-16,0,False
476,6,6 6 6 6 6 6 6 6 6 3 3,1 0 3 4 2,1,1,reversing,-2.0435042547006788e-15,0,False
477,4,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 1 4 3 2,3,0,preserving,-3.608224830031759e-16,0,False
478,5,5 5 5 5 5 5 5 5 5 5 5 5,1 4 3 0 2,0,0,preserving,1.999999999999999,2,False
479,2,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1,0 3 4 1 2,0,1,reversing,3.3306690738754696e-16,0,False
