probe_id,trace_c_squared,quartic_prediction,quartic_residual,directional_c_squared,sextic_prediction,sextic_residual,f_transpose_c_f,s4,f_transpose_c_f_residual
106,2.701523405484697,2.7015234054846977,8.881784197001252e-16,2.1881906813003895,2.18819068130039,4.440892098500626e-16,1.4652395623778631,1.4652395623778627,4.440892098500626e-16
107,2.0544355357600113,2.0544355357600113,0.0,1.0855571286860963,1.0855571286860972,8.881784197001252e-16,1.041691138558068,1.041691138558068,0.0
108,2.545087301147521,2.54508730114752,8.881784197001252e-16,1.9272028776449859,1.9272028776449863,4.440892098500626e-16,1.3628450213571648,1.3628450213571648,0.0
109,2.1280178706434554,2.1280178706434563,8.881784197001252e-16,1.2726047503045768,1.272604750304576,6.661338147750939e-16,1.089854121390868,1.0898541213908683,4.440892098500626e-16
110,2.705594685272662,2.7055946852726613,4.440892098500626e-16,2.196056177678122,2.1960561776781224,4.440892098500626e-16,1.4679044000572568,1.467904400057257,2.220446049250313e-16
111,1.9398195711386705,1.9398195711386692,1.3322676295501878e-15,0.9728785006809287,0.9728785006809285,2.220446049250313e-16,0.9666697798968262,0.9666697798968259,3.3306690738754696e-16
112,2.2203223399064007,2.2203223399064003,4.440892098500626e-16,1.3684965198385504,1.3684965198385497,6.661338147750939e-16,1.1502715921811593,1.150271592181159,2.220446049250313e-16
113,1.6795726008867393,1.6795726008867395,2.220446049250313e-16,0.6623524747521036,0.6623524747521035,1.1102230246251565e-16,0.7963263084591993,0.7963263084591992,1.1102230246251565e-16
114,2.0890345392406386,2.0890345392406395,8.881784197001252e-16,1.2149430215853114,1.2149430215853112,2.220446049250313e-16,1.064337759018116,1.0643377590181156,4.440892098500626e-16
115,2.2733995229233583,2.2733995229233597,1.3322676295501878e-15,1.498934889098166,1.4989348890981673,1.3322676295501878e-15,1.185013021064987,1.1850130210649872,2.220446049250313e-16
116,1.8687579873092046,1.868757987309204,6.661338147750939e-16,0.8814314876642498,0.8814314876642506,7.771561172376096e-16,0.9201567432084488,0.9201567432084486,1.1102230246251565e-16
117,2.3684819001195208,2.3684819001195208,0.0,1.6680311407907549,1.6680311407907555,6.661338147750939e-16,1.2472487588661105,1.2472487588661105,0.0
118,2.038374631883397,2.0383746318833973,4.440892098500626e-16,1.0705219265998243,1.0705219265998245,2.220446049250313e-16,1.031178546929739,1.031178546929739,0.0
119,2.4391471390027646,2.439147139002763,1.7763568394002505e-15,1.748837210166114,1.748837210166113,1.1102230246251565e-15,1.2935023697715051,1.2935023697715053,2.220446049250313e-16
120,2.7193968084930575,2.719396808493059,1.3322676295501878e-15,2.2471271028144515,2.247127102814451,4.440892098500626e-16,1.476938517074244,1.4769385170742446,6.661338147750939e-16
121,2.378486434191451,2.378486434191452,8.881784197001252e-16,1.6506662108862513,1.6506662108862518,4.440892098500626e-16,1.2537971811677382,1.2537971811677382,0.0
122,2.7274345932051975,2.7274345932051984,8.881784197001252e-16,2.2322906606520556,2.2322906606520556,0.0,1.4821996125221901,1.4821996125221903,2.220446049250313e-16
123,2.767530710924051,2.7675307109240515,4.440892098500626e-16,2.304888745016438,2.304888745016438,0.0,1.5084443441199844,1.5084443441199855,1.1102230246251565e-15
124,2.145349617297078,2.145349617297078,0.0,1.2401444651810998,1.2401444651810993,4.440892098500626e-16,1.1011985373823303,1.1011985373823299,4.440892098500626e-16
125,2.568395356315588,2.5683953563155857,2.220446049250313e-15,1.9657887142004764,1.9657887142004746,1.7763568394002505e-15,1.3781012029217163,1.3781012029217166,2.220446049250313e-16
126,2.325763068138761,2.32576306813876,8.881784197001252e-16,1.56084548377462,1.5608454837746204,4.440892098500626e-16,1.2192873415696128,1.2192873415696128,0.0
127,2.3200572102625103,2.320057210262508,2.220446049250313e-15,1.5728709346827479,1.5728709346827467,1.1102230246251565e-15,1.2155525982324296,1.2155525982324296,0.0
128,2.222200214782871,2.222200214782871,0.0,1.4466802230595908,1.4466802230595912,4.440892098500626e-16,1.1515007466457574,1.151500746645758,6.661338147750939e-16
129,2.498713317583854,2.498713317583854,0.0,1.8480546954064156,1.8480546954064159,2.220446049250313e-16,1.3324911412064024,1.3324911412064016,8.881784197001252e-16
130,2.7526503037053662,2.752650303705364,2.220446049250313e-15,2.2832141373112638,2.2832141373112638,0.0,1.498704441213208,1.498704441213208,0.0
131,1.8120542001415045,1.812054200141504,4.440892098500626e-16,0.8446652308323432,0.8446652308323432,0.0,0.8830415370623177,0.8830415370623179,2.220446049250313e-16
