coefficient_id,monomial,f0_power,f1_power,f2_power,f3_power,determinant_coefficient,candidate_coefficient,residual,coefficient_pass
39,f0^7*f1^3*f2*f3,7,3,1,1,-2.03409633839365e-07,-1.1964654497452385e-07,-8.376308886484116e-08,False
40,f0^7*f1^3*f3^2,7,3,0,2,-1.429169622879579e-07,-1.5213752443995823e-07,9.220562152000327e-09,False
41,f0^7*f1^2*f2^3,7,2,3,0,-4.0541990802934495e-07,-4.5085613105865375e-07,4.5436223029308795e-08,False
42,f0^7*f1^2*f2^2*f3,7,2,2,1,1.415054684846911e-07,1.6171411612965527e-07,-2.0208647644964168e-08,False
43,f0^7*f1^2*f2*f3^2,7,2,1,2,2.217467940511663e-08,-1.9044869621675567e-08,4.1219549026792194e-08,False
44,f0^7*f1^2*f3^3,7,2,0,3,-2.916533263907311e-07,-2.8796106723345297e-07,-3.6922591572781273e-09,True
45,f0^7*f1*f2^4,7,1,4,0,-3.826001111810455e-07,-3.5912198655328987e-07,-2.347812462775562e-08,False
46,f0^7*f1*f2^3*f3,7,1,3,1,6.141687330372696e-07,7.074939122234249e-07,-9.332517918615527e-08,False
47,f0^7*f1*f2^2*f3^2,7,1,2,2,8.702689440277962e-07,7.788513586301221e-07,9.141758539767406e-08,False
48,f0^7*f1*f2*f3^3,7,1,1,3,-3.623961383833168e-07,-3.9727967056633146e-07,3.4883532183014656e-08,False
49,f0^7*f1*f3^4,7,1,0,4,-3.433943199991447e-08,-4.45933630371826e-08,1.0253931037268134e-08,False
50,f0^7*f2^5,7,0,5,0,-2.3451965500755903e-07,-2.6326125427076444e-07,2.874159926320541e-08,False
51,f0^7*f2^4*f3,7,0,4,1,-7.093306719015782e-07,-6.661791107281057e-07,-4.3151561173472464e-08,False
52,f0^7*f2^3*f3^2,7,0,3,2,7.13139019319574e-08,7.366223261356873e-08,-2.3483306816113383e-09,True
53,f0^7*f2^2*f3^3,7,0,2,3,8.553205943421932e-08,6.071022464631341e-08,2.4821834787905907e-08,False
54,f0^7*f2*f3^4,7,0,1,4,1.6565542350958189e-07,1.58722081107673e-07,6.933342401908898e-09,False
55,f0^7*f3^5,7,0,0,5,1.7981474412576024e-08,2.3325115374720738e-08,-5.343640962144714e-09,False
56,f0^6*f1^6,6,6,0,0,4.309019479956837e-08,3.385162857103552e-07,-2.9542609091078684e-07,False
