row,column,row_monomial,column_monomial,projector_entry,best_rational_entry
40,23,f1^3*f3^2,f0*f1^2*f2^2,-0.0010827980266441956,-0.0010827979499025483
40,24,f1^3*f3^2,f0*f1^2*f2*f3,-0.0001781406389928759,-0.00017814053668885327
40,25,f1^3*f3^2,f0*f1^2*f3^2,-0.0026830715158210725,-0.002683071449747999
40,26,f1^3*f3^2,f0*f1*f2^3,-0.0005456047790017057,-0.0005456047639090244
40,27,f1^3*f3^2,f0*f1*f2^2*f3,-0.001042963395925855,-0.0010429633617064227
40,28,f1^3*f3^2,f0*f1*f2*f3^2,-0.0023637083693197787,-0.0023637083440068932
40,29,f1^3*f3^2,f0*f1*f3^3,0.0060382243915259575,0.0060382244012182566
40,30,f1^3*f3^2,f0*f2^4,-0.006025907647480769,-0.006025907644509033
40,31,f1^3*f3^2,f0*f2^3*f3,-0.0024395261882973886,-0.002439526202862769
40,32,f1^3*f3^2,f0*f2^2*f3^2,-0.000878666409078118,-0.0008786664943791188
40,33,f1^3*f3^2,f0*f2*f3^3,-0.0003498583203713273,-0.00034985830738550885
40,34,f1^3*f3^2,f0*f3^4,-0.024468356073786876,-0.02446835611951524
40,35,f1^3*f3^2,f1^5,0.08422907678326598,0.08422907681866941
40,36,f1^3*f3^2,f1^4*f2,0.06263578611975922,0.06263578602172576
40,37,f1^3*f3^2,f1^4*f3,0.058849465185012134,0.058849465110342745
40,38,f1^3*f3^2,f1^3*f2^2,0.005054677496848236,0.005054677478966019
40,39,f1^3*f3^2,f1^3*f2*f3,0.011623345540470561,0.011623345489415491
40,40,f1^3*f3^2,f1^3*f3^2,0.038500727217407674,0.038500726968826206
41,0,f1^2*f2^3,f0^5,-0.0013450198285409833,-0.0013450197318828799
41,1,f1^2*f2^3,f0^4*f1,-0.014038164792195487,-0.01403816400206292
41,2,f1^2*f2^3,f0^4*f2,0.03203184698407103,0.03203184697675565
41,3,f1^2*f2^3,f0^4*f3,-0.0034395539035843897,-0.00343955381049646
41,4,f1^2*f2^3,f0^3*f1^2,-0.0016034792552716442,-0.0016034793304924657
41,5,f1^2*f2^3,f0^3*f1*f2,0.0014366450378475665,0.0014366450113558337
41,6,f1^2*f2^3,f0^3*f1*f3,-0.0015428506736263519,-0.001542850845506753
41,7,f1^2*f2^3,f0^3*f2^2,-0.0021957485597400034,-0.002195748656855875
41,8,f1^2*f2^3,f0^3*f2*f3,0.004096995514460593,0.004096995536606488
41,9,f1^2*f2^3,f0^3*f3^2,-0.0015341381304005213,-0.0015341381584607003
41,10,f1^2*f2^3,f0^2*f1^3,0.002563157635322206,0.002563157542049186
41,11,f1^2*f2^3,f0^2*f1^2*f2,0.0005923233819218327,0.000592323487600695
41,12,f1^2*f2^3,f0^2*f1^2*f3,0.0036455062996453287,0.0036455059710873666
41,13,f1^2*f2^3,f0^2*f1*f2^2,-0.010992344970551779,-0.01099234503360717
41,14,f1^2*f2^3,f0^2*f1*f2*f3,0.008218434446982852,0.00821843448051243
41,15,f1^2*f2^3,f0^2*f1*f3^2,-0.011006349789311753,-0.011006349817202232
41,16,f1^2*f2^3,f0^2*f2^3,0.040482067358216266,0.04048206722125727
41,17,f1^2*f2^3,f0^2*f2^2*f3,-0.018116871683283277,-0.018116871583351422
41,18,f1^2*f2^3,f0^2*f2*f3^2,0.00683214924207157,0.0068321492394194305
41,19,f1^2*f2^3,f0^2*f3^3,0.009885621546748028,0.009885621814418917
41,20,f1^2*f2^3,f0*f1^4,0.00021313440896741776,0.0002131344078859731
41,21,f1^2*f2^3,f0*f1^3*f2,-0.0006840404262010559,-0.0006840403986211891
41,22,f1^2*f2^3,f0*f1^3*f3,-0.0008704640224746108,-0.000870464066155269
41,23,f1^2*f2^3,f0*f1^2*f2^2,-0.0031257344543856435,-0.003125734430082256
41,24,f1^2*f2^3,f0*f1^2*f2*f3,-0.0013927278722299474,-0.0013927278181311736
41,25,f1^2*f2^3,f0*f1^2*f3^2,-0.0009469796193530954,-0.0009469796609812813
41,26,f1^2*f2^3,f0*f1*f2^3,-0.0007960583618071824,-0.000796058434992147
41,27,f1^2*f2^3,f0*f1*f2^2*f3,-0.006244225071159614,-0.006244225209382731
41,28,f1^2*f2^3,f0*f1*f2*f3^2,-0.0013406538512444478,-0.0013406537282941778
41,29,f1^2*f2^3,f0*f1*f3^3,-0.009053242278349471,-0.009053242179407499
41,30,f1^2*f2^3,f0*f2^4,-0.01366718368992252,-0.013667183556812307
41,31,f1^2*f2^3,f0*f2^3*f3,0.0005383070485265643,0.0005383070969243751
41,32,f1^2*f2^3,f0*f2^2*f3^2,-0.011268862261976285,-0.011268862252220799
41,33,f1^2*f2^3,f0*f2*f3^3,-0.003085982052653088,-0.0030859822256147427
41,34,f1^2*f2^3,f0*f3^4,0.005840157250299376,0.005840157430330731
41,35,f1^2*f2^3,f1^5,-0.0003692484122214128,-0.00036924814561409226
41,36,f1^2*f2^3,f1^4*f2,0.0017544230992371063,0.001754423048468579
41,37,f1^2*f2^3,f1^4*f3,0.003364715372933881,0.0033647154239870233
41,38,f1^2*f2^3,f1^3*f2^2,0.009534999843309138,0.009534999792039263
41,39,f1^2*f2^3,f1^3*f2*f3,0.010984560313602948,0.010984560249392475
41,40,f1^2*f2^3,f1^3*f3^2,0.005891863787589674,0.005891863747225343
41,41,f1^2*f2^3,f1^2*f2^3,0.022583491526740367,0.022583491617187382
42,0,f1^2*f2^2*f3,f0^5,0.000585730080045958,0.000585730149239161
42,1,f1^2*f2^2*f3,f0^4*f1,-0.006058107576611942,-0.006058107647912821
42,2,f1^2*f2^2*f3,f0^4*f2,-0.0048350394302681355,-0.004835039817974972
42,3,f1^2*f2^2*f3,f0^4*f3,0.013611845957685269,0.013611846122532058
42,4,f1^2*f2^2*f3,f0^3*f1^2,0.00033362332476892493,0.00033362326783990847
42,5,f1^2*f2^2*f3,f0^3*f1*f2,-0.002136346865172981,-0.0021363469730870848
42,6,f1^2*f2^2*f3,f0^3*f1*f3,0.0018626165826992754,0.0018626166693957752
42,7,f1^2*f2^2*f3,f0^3*f2^2,0.004627495403285226,0.0046274954788837275
42,8,f1^2*f2^2*f3,f0^3*f2*f3,-0.002223129444687409,-0.0022231296220679643
42,9,f1^2*f2^2*f3,f0^3*f3^2,0.0012017595407470638,0.0012017595573896875
42,10,f1^2*f2^2*f3,f0^2*f1^3,-0.0007303594564521048,-0.0007303595298138272
42,11,f1^2*f2^2*f3,f0^2*f1^2*f2,-0.0015418122638459577,-0.001541812222365981
42,12,f1^2*f2^2*f3,f0^2*f1^2*f3,0.004757245216516993,0.004757245169886742
42,13,f1^2*f2^2*f3,f0^2*f1*f2^2,0.0005973425565620473,0.0005973426325051258
42,14,f1^2*f2^2*f3,f0^2*f1*f2*f3,0.001783642359174954,0.0017836424402999291
42,15,f1^2*f2^2*f3,f0^2*f1*f3^2,-0.006485249317039183,-0.006485249237029501
42,16,f1^2*f2^2*f3,f0^2*f2^3,-0.0014830139599902475,-0.001483013883003913
42,17,f1^2*f2^2*f3,f0^2*f2^2*f3,0.002847279600483568,0.002847279594004485
42,18,f1^2*f2^2*f3,f0^2*f2*f3^2,-0.003581423061822281,-0.0035814229994055127
42,19,f1^2*f2^2*f3,f0^2*f3^3,0.01300965734011129,0.013009656652360514
42,20,f1^2*f2^2*f3,f0*f1^4,0.001055283301808831,0.0010552832244008715
42,21,f1^2*f2^2*f3,f0*f1^3*f2,-0.0016757683460072305,-0.001675768389093705
42,22,f1^2*f2^2*f3,f0*f1^3*f3,-0.0005776784424926049,-0.0005776785026573211
42,23,f1^2*f2^2*f3,f0*f1^2*f2^2,-0.0013592433498172188,-0.001359243431283333
42,24,f1^2*f2^2*f3,f0*f1^2*f2*f3,-0.0020000902675021714,-0.0020000902296344195
