start_id,residual_norm,residual_energy,axis_distance,nearest_axis_id,valid_exclusion,objective,success,iteration_count,f0,f1,f2,f3
205,4.0731658989949664e-14,1.6590680440735473e-27,0.8420246737858323,1,True,1.6590680440735473e-27,True,230,0.9951413007735691,0.026120507758763373,2.918951597402749e-14,0.09492897644614794
206,1.070186990399e-13,1.1453001944192693e-26,0.8804857344717805,9,True,1.1453001944192694e-26,True,220,0.01905125462067368,0.6879709387049189,-0.6123724356958422,-0.38901547166506467
207,0.01538022354819379,0.0002365512763924148,0.8294179892523602,2,True,0.0002365512763924148,True,588,0.9960224361892112,0.011516009858602762,-0.001867413714478769,0.08833572827946977
208,2.078772175381226e-14,4.321293757139194e-28,0.8804857344718285,8,True,4.321293757139194e-28,True,234,-0.08714485551125423,0.44910215900751477,-0.4082482904638542,0.7899660488059294
209,0.02582575618293149,0.0006669696824202242,0.10366723922377138,0,True,0.0006669696824202241,False,5000,0.7182129699883677,0.3319803280249051,0.2429656880612276,-0.5611834512616162
210,9.07553507473114e-14,8.236533689267516e-27,0.8420246737857985,9,True,8.236533689267516e-27,True,229,0.45796395603145934,-0.2800321997267218,0.6454972243679585,0.5433086741673562
211,7.13656312627447e-13,5.093053325530044e-25,0.8420246737852897,4,True,5.093053325530043e-25,True,270,-0.04306617457864997,0.7191481709748614,-0.6454972243679903,0.2535834105849458
212,1.880807510584411e-15,3.537436891870729e-30,0.4174423812329611,2,True,3.537436891870729e-30,True,255,0.6866312018603522,-0.59686992603121,4.845258596343668e-16,0.41507093855304567
213,5.277216249737267e-14,2.7849011346491064e-27,0.8420246737858268,1,True,2.784901134649106e-27,True,212,-0.5802435193213883,0.4129954634894483,-2.45395299784589e-14,0.7019631083060317
214,1.1838102786735977e-14,1.401406775893261e-28,0.4174423812329611,1,True,1.401406775893261e-28,True,251,0.7341235461005906,-0.49004456021001314,0.4564354645876438,-0.11218562624476698
215,3.347601942583308e-13,1.1206438765987537e-25,0.8804857344716414,0,True,1.1206438765987537e-25,True,226,0.8303007037925679,-0.2039010049642576,-0.4082482904635788,-0.3199350790233819
216,1.644514519325419e-15,2.7044280042721136e-30,0.4174423812329598,0,True,2.7044280042721136e-30,True,275,-0.4273340874071146,-0.3233080213627916,-4.622043756457933e-15,0.8443088896028547
217,3.351565918247518e-14,1.1232994104358329e-27,0.8804857344718103,4,True,1.123299410435833e-27,True,235,0.8303007037924282,-0.20390100496427835,-0.40824829046387767,-0.31993507902335
218,7.491178440223879e-14,5.611775442327506e-27,0.880485734471797,3,True,5.6117754423275056e-27,True,206,0.7431558482811629,0.2452011540432262,0.40824829046380084,0.4700309697825872
219,0.014987108928134442,0.0002246134340237671,0.049962202887985786,9,False,0.0002247562961914286,True,274,0.0454288823241293,-0.011156193584539018,0.9987518891412898,-0.017504854532078555
220,0.014987108954556802,0.0002246134348157567,0.0499622029927568,9,False,0.00022475629619141097,True,210,-0.040660858778091814,-0.013415880517479249,0.9987518891360555,-0.02571716665049575
221,3.8252097512845867e-14,1.463222964132269e-27,0.8804857344718047,6,True,1.4632229641322692e-27,True,239,-0.08714485551127088,0.449102159007488,-0.40824829046384115,0.7899660488059495
222,5.146225548016873e-14,2.6483637391061563e-27,0.4174423812327936,2,True,2.6483637391061563e-27,True,224,0.6866312018603896,-0.596869926031272,5.134658425839475e-14,0.4150709385528946
223,0.016177867965425932,0.0002617234119067546,0.04994996151465312,9,False,0.0002619737969083356,True,451,0.049665711598652185,-0.003996501319061155,0.9987525006723426,-0.0032844283138653814
224,4.870856798066906e-14,2.372524594727459e-27,0.8420246737858257,1,True,2.372524594727459e-27,True,224,0.48206209878568845,0.5901898523979954,0.6454972243679106,0.05123869996489963
225,0.014987108949909955,0.00022461343467647109,0.049962202974328705,5,False,0.00022475629619143073,True,196,0.6047395352834819,-0.33150251368380784,-0.20368665312337175,0.694915768439481
226,0.014987108907890056,0.00022461343341695746,0.04996220280771593,8,False,0.00022475629619141336,True,245,-0.011341801265044001,0.9368391886533685,0.1478446486701179,0.3167738278440501
227,1.3275502662372779e-13,1.7623897093866675e-26,0.8804857344717291,6,True,1.7623897093866672e-26,True,240,0.019051254620739283,0.6879709387049215,-0.61237243569579,-0.38901547166513883
228,6.389434074153101e-15,4.0824867787948696e-29,0.8420246737858618,2,True,4.08248677879487e-29,True,269,0.9951413007735664,0.026120507758763515,-2.600586052508817e-15,0.09492897644617523
229,9.635675205090674e-16,9.28462366579992e-31,0.8420246737858653,8,True,9.284623665799919e-31,True,298,0.02409814275411865,0.8702220521247326,4.102959122024154e-15,-0.49206997420247195
230,9.397304331681914e-15,8.830932870224766e-29,0.8420246737858587,3,True,8.830932870224766e-29,True,247,0.4820620987856552,0.5901898523980355,0.6454972243678984,0.05123869996490381
231,2.1290854168254788e-13,4.533004712138923e-26,0.880485734471688,9,True,4.533004712138923e-26,True,213,0.019051254620671667,0.6879709387048384,0.6123724356959284,-0.38901547166507106
232,1.657528490079918e-14,2.747400695426613e-28,0.8804857344718314,0,True,2.7474006954266123e-28,True,240,0.8303007037924217,-0.20390100496428612,-0.4082482904638699,-0.3199350790233714
233,6.487057260692384e-14,4.208191190350177e-27,0.4174423812328944,3,True,4.208191190350177e-27,True,217,0.7207111221711904,0.633809902359799,1.0736415552349933e-14,-0.2808210926006196
234,1.2523331144305325e-14,1.5683382294992772e-28,0.4174423812329404,3,True,1.5683382294992772e-28,True,258,0.3104169949195693,0.9258417951924117,-8.272260175732197e-15,0.21554178142531033
235,0.014987108925567176,0.0002246134339468153,0.04996220287780845,8,False,0.00022475629619141162,True,257,-0.09743154520737232,0.9345795021787145,0.14784464681203047,0.30856151496081907
236,8.806778864249972e-15,7.755935396380004e-29,0.842024673785859,3,True,7.755935396380003e-29,True,253,0.024098142754122625,0.8702220521247347,-3.729290310869968e-15,-0.4920699742024678
237,7.63839542706707e-15,5.834508470023913e-29,0.8420246737858629,6,True,5.834508470023912e-29,True,243,-0.06716431733344058,-0.15107388114979228,-0.6454972243679015,0.7456533847873329
238,0.01498710896068103,0.00022461343499932562,0.049962203017040185,9,False,0.0002247562961914121,True,305,-0.04066085988211055,-0.013415879604568328,0.9987518891348423,-0.025717165428312313
239,5.179132211788095e-13,2.682341046718104e-25,0.842024673785488,6,True,2.682341046718104e-25,True,221,-0.5802435193212184,0.4129954634892475,3.630549036884772e-13,0.70196310830629
240,0.014987108954868586,0.00022461343482510217,0.04996220299399452,4,False,0.00022475629619139997,True,190,-0.620622859079297,-0.242069470227808,0.6472205915742493,-0.37058756618935
241,5.949883545757981e-15,3.540111420808156e-29,0.8420246737858614,2,True,3.5401114208081557e-29,True,250,0.024098142754112796,0.8702220521247327,3.67973256329067e-15,-0.4920699742024717
242,5.3604172956403955e-14,2.873407358340069e-27,0.842024673785841,4,True,2.8734073583400694e-27,True,231,-0.5371773447420631,-0.30615270748542023,0.6454972243679099,0.4483796977211809
243,7.827586080167243e-14,6.1271103842427986e-27,0.8420246737857982,7,True,6.127110384242798e-27,True,225,-0.5371773447420064,-0.30615270748541085,0.6454972243679336,0.4483796977212212
244,1.6296558861545595e-14,2.6557783072782025e-28,0.842024673785853,3,True,2.655778307278202e-28,True,249,0.024098142754131857,0.8702220521247357,6.842533059133715e-15,-0.49206997420246557
245,0.018792221113922227,0.00035314757439454435,0.06564660894122684,6,True,0.0003531475743945444,False,5000,-0.02750721318278546,-0.2124988352566311,0.1445702505313282,0.9660160665841955
246,2.7646476072321213e-14,7.6432763921742935e-28,0.4174423812328779,9,True,7.643276392174294e-28,True,207,0.37132176308907433,-0.09118730155613211,0.9128709291753125,-0.1430793170165902
247,0.014987108986757562,0.00022461343578094928,0.04996220312043348,6,False,0.0002247562961914459,True,360,-0.08749496375474101,-0.16150710280901734,0.20368665490391724,0.9616505777432085
248,0.014987108965066437,0.00022461343513077478,0.049962203034430545,4,False,0.00022475629619140062,True,203,-0.6185381286691649,-0.16678649989289196,0.6472205902210678,-0.4131565737463444
249,1.0081792584021975e-14,1.016425417072405e-28,0.8420246737858599,2,True,1.016425417072405e-28,True,230,-0.5130792019879231,0.5640693446392596,0.645497224367899,-0.04369027648127641
250,0.014987108980919399,0.0002246134356059549,0.04996220309728782,3,False,0.0002247562961914183,True,221,0.5900349373326866,0.7891561622917997,-0.14784464403685368,0.08504872411334113
251,3.206422942337052e-14,1.0281148085145399e-27,0.4174423812328704,6,True,1.0281148085145399e-27,True,236,0.27633707460859674,-0.3048380331985322,4.68467120653759e-14,0.9114338125790669
252,0.014987108956375249,0.0002246134348702632,0.04996220299996759,9,False,0.0002247562961914082,True,218,-0.004768019671321735,0.024572072699852336,0.9987518891356952,0.04322202192780085
253,1.1561159902469076e-13,1.3366041829045878e-26,0.8420246737857869,0,True,1.3366041829045875e-26,True,217,0.4820620987857505,0.5901898523979955,0.6454972243678666,0.05123869996486492
254,3.925231146709438e-17,1.540743955509789e-33,0.880485734471837,0,True,1.5407439555097887e-33,True,538,0.8303007037924235,-0.20390100496429958,-0.40824829046386235,-0.319935079023368
255,0.014987108982854581,0.00022461343566396047,0.04996220310496304,3,False,0.000224756296191404,True,207,0.6344214541392887,0.7403584844784927,-0.2036866539225681,0.08882837385840194
256,1.0697748350836044e-14,1.144418197778153e-28,0.41744238123293426,2,True,1.1444181977781528e-28,True,264,-0.39325416709626043,0.9073718070281442,-1.959900764119564e-15,0.14841685844912209
257,2.253766412644942e-13,5.079463042766451e-26,0.8804857344716944,4,True,5.079463042766451e-26,True,222,0.8303007037924293,-0.20390100496411573,-0.40824829046397043,-0.3199350790233321
258,2.914335439641036e-16,8.49335105474771e-32,0.4174423812329617,7,True,8.49335105474771e-32,True,287,-0.03897236416252026,0.2008445912765385,0.9128709291752767,0.35328355700939595
259,0.014987108869719204,0.00022461343227281604,0.049962202656360276,3,False,0.00022475629619143797,True,274,0.5900349372332118,0.7891561606151861,-0.14784464958420016,0.08504873071729824
260,1.3877787807814457e-17,1.925929944387236e-34,0.842024673785866,8,True,1.925929944387236e-34,False,5000,-0.04306617457931956,0.7191481709749332,-0.6454972243679007,0.25358341058485656
261,3.2559838499358723e-13,1.0601430831043224e-25,0.8420246737856717,6,True,1.0601430831043224e-25,True,244,-0.5371773447419023,-0.3061527074857337,0.6454972243677802,0.44837969772134645
262,2.732514922446879e-15,7.466637801394873e-30,0.8420246737858641,0,True,7.466637801394875e-30,True,261,-0.06716431733343836,-0.1510738811498017,-0.6454972243679032,0.7456533847873298
263,0.014987108898768938,0.0002246134331435591,0.049962202771548614,9,False,0.00022475629619141973,True,259,-0.040660856900284315,-0.013415880239213505,0.9987518891471073,-0.02571716933540393
264,2.0351707826929786e-13,4.141920114727151e-26,0.8420246737857658,2,True,4.141920114727151e-26,True,202,-0.04306617457933473,0.7191481709750209,-0.6454972243678885,0.25358341058463646
265,8.360547000067514e-14,6.989874614033791e-27,0.41744238123279864,7,True,6.989874614033792e-27,True,234,-0.06942474824725132,0.7093591396507025,0.4564354645877448,0.53259410623043
266,0.01498710897601378,0.0002246134354589128,0.04996220307783977,2,False,0.00022475629619139143,True,223,-0.6715831577182569,0.7189953241750558,-0.1478446453178021,-0.10081541020317478
267,3.0057478516587053e-13,9.034520147750923e-26,0.842024673785711,5,True,9.034520147750921e-26,True,221,0.41489778145232664,0.4391159712480392,2.326809123268149e-13,0.7968920847522759
268,1.1736330619223721e-13,1.3774145640372826e-26,0.41744238123265315,8,True,1.3774145640372826e-26,True,239,0.3104169949193311,0.9258417951924489,1.7698300600706206e-13,0.2155417814254938
269,0.014987108968407164,0.00022461343523091045,0.04996220304767219,5,False,0.00022475629619143756,True,256,0.6047395375818848,-0.331502515461037,-0.20368665331525362,0.6949157655352803
270,2.1711136538238572e-13,4.7137344978203795e-26,0.8420246737857465,8,True,4.7137344978203795e-26,True,212,-0.5130792019879744,0.5640693446393101,0.6454972243678276,-0.04369027648107612
271,1.3491236443151967e-16,1.8201346076503172e-32,0.8420246737858658,3,True,1.8201346076503175e-32,True,296,0.9951413007735664,0.026120507758769094,7.294397914735829e-16,0.0949289764461739
272,1.4405972644405045e-14,2.075320478313465e-28,0.8420246737858545,4,True,2.075320478313465e-28,True,225,-0.5371773447420397,-0.3061527074854723,0.6454972243679011,0.4483796977211859
273,1.2358065997523932e-16,1.5272179519915718e-32,0.41744238123296085,6,True,1.5272179519915718e-32,True,361,0.27633707460867607,-0.3048380331985295,-9.924776130860108e-16,0.9114338125790437
274,9.182789699403456e-13,8.432362666347021e-25,0.8420246737854418,0,True,8.432362666347021e-25,True,247,0.4820620987851829,0.590189852398451,0.6454972243679417,0.051238699964015345
275,1.9162578855568452e-13,3.672044283958791e-26,0.41744238123278243,1,True,3.672044283958791e-26,True,232,0.7341235461006413,-0.49004456020988074,0.4564354645876496,-0.11218562624498966
