sample_id,source_index,f0,f1,f2,f3,top_pencil_eigenvalue,s4,s6,s8,covariant_trace,covariant_trace_square,covariant_trace_cube,covariant_determinant,covariant_eigenvalue_0,covariant_eigenvalue_1,covariant_eigenvalue_2,covariant_eigenvalue_3,covariant_top_gap,covariant_spread,projective_axis_distance
1255,12552,0.42397837266936705,0.26311193106011554,0.6892338096581595,-0.5253296173513846,0.09364999325231367,1.2618860383179,0.7729622504170566,0.5013196938483527,2.4999999999999996,2.3908444103930884,2.780524804202932,0.04709710403925191,0.16117724855655613,0.32591312225729596,0.6653211501401427,1.3475884790460047,0.682267328905862,1.1864112304894485,0.5650738481731495
1256,12562,-0.785583282121724,0.3736714696348448,0.35808385385178,0.33912312401611916,0.05965426287988001,0.7982235671903918,0.2985820068171394,0.123597238937482,2.500000000000001,1.6824711906149505,1.2153377730201513,0.13214256138617456,0.4527522184713063,0.5042359754803283,0.643462973673627,0.8995488323747387,0.25608585870111167,0.4467966139034324,0.7567569252352011
1257,12572,0.686887903282617,0.34158274052964616,0.16464969213725564,0.61999735368417,0.06392404566177441,0.8852441281322029,0.35636567323691165,0.15251741258326773,2.500000000000001,1.815419269831607,1.4439925213627873,0.10199229625933134,0.2629898596797329,0.5913572245405778,0.6771118791514635,0.9685410366282265,0.291429157476763,0.7055511769484937,0.7729026542604934
1258,12582,-0.8110052554623312,0.25243390542123423,-0.03199437716084348,0.5268054278729026,0.0812156813638307,1.0821841458254466,0.5461686155985512,0.2933457265366995,2.5,2.116299852418507,2.0844506408896253,0.0613764795765005,0.1607530253560908,0.47027511654566584,0.6867242201091281,1.1822476379891143,0.4955234178799861,1.0214946126330235,0.6738978812111961
1259,12592,0.43820589291349005,-0.6623152106255888,0.5850757668481772,0.16431830158838073,0.09139994262888211,1.19545216064108,0.7222747447150891,0.48479971766072616,2.5000000000000004,2.2893482083868353,2.5922679422051047,0.06218981170521097,0.22605736279440503,0.3405011629302729,0.6109066930553345,1.3225347812199881,0.7116280881646536,1.0964774184255832,0.49123209815855273
1260,12602,-0.6316625075533082,-0.25095925083008097,-0.13194535231197216,0.7215347219486676,0.1090356030042486,1.5552222588280946,1.193069588175872,1.0037212658997308,2.5000000000000004,2.838996969505885,4.020721152599141,0.024686422704139788,0.09823611003366034,0.29862628348774917,0.537479762746607,1.5656578437319837,1.0281780809853767,1.4674217336983233,0.21494936767929082
1261,12612,0.7013660132712324,0.2676545305537855,0.546258771509307,0.3715482771473886,0.05740399335889834,0.7903532433308288,0.2892916127933195,0.1158914042833083,2.500000000000001,1.6704470847183963,1.1861904265017427,0.13307655471643473,0.4241746519642143,0.5564448892398018,0.6442919076970444,0.8750885510989395,0.2307966434018951,0.4509138991347252,0.7771272607573513
1262,12622,0.2880441307969927,-0.14162627131699085,0.9359099577038461,-0.14506939393626792,0.10870856238109444,1.553469199794527,1.1814712133124754,0.9609547564623092,2.500000000000001,2.83631868487127,3.994376692859333,0.027933961488805132,0.14645837186980176,0.2084458164591344,0.5874185668150875,1.5576772448559772,0.9702586780408897,1.4112188729861754,0.358022463809616
1263,12632,0.8740849305652034,-0.31152276629131476,0.04902659408290026,0.36949356329124444,0.09831141877121226,1.3447014010736154,0.8829656666765064,0.6225079884379862,2.5000000000000013,2.517367881269877,3.1127385359499304,0.038922141536356744,0.13748328306785348,0.3169940773456407,0.6316733830424053,1.4138492565441025,0.7821758735016973,1.2763659734762491,0.4890790743954219
1264,12642,0.5947539546191258,0.491438555298391,0.3457226326888293,-0.5340709139036183,0.10564182928268354,1.467342195205734,1.0881081593538817,0.9091368451781313,2.500000000000001,2.7047357611939455,3.692709994875046,0.03267087781542628,0.11688366826622516,0.3897402482194913,0.4711395649060472,1.5222365186082372,1.05109695370219,1.405352850342012,0.23036925388015425
