actual_index,orientation_type,edge_positive_count,edge_negative_count,face_positive_count,face_negative_count,b1_chain_max_abs,b2_chain_max_abs,delta1_commutation_max_abs,p_exact_commutation_max_abs,p_harmonic_commutation_max_abs,p_coexact_commutation_max_abs,all_checks_pass
35,preserving,58,62,20,0,0.0,0.0,0.0,1.5543122344752192e-15,1.5543122344752192e-15,3.608224830031759e-16,True
36,reversing,62,58,0,20,0.0,0.0,0.0,1.4432899320127035e-15,1.6653345369377348e-15,4.163336342344337e-16,True
37,preserving,54,66,20,0,0.0,0.0,0.0,1.3877787807814457e-15,1.5543122344752192e-15,4.163336342344337e-16,True
38,reversing,60,60,0,20,0.0,0.0,0.0,1.6653345369377348e-15,1.7208456881689926e-15,4.163336342344337e-16,True
39,reversing,64,56,0,20,0.0,0.0,0.0,1.2212453270876722e-15,1.4432899320127035e-15,4.163336342344337e-16,True
40,reversing,104,16,0,20,0.0,0.0,0.0,1.4432899320127035e-15,1.6653345369377348e-15,3.608224830031759e-16,True
41,preserving,64,56,20,0,0.0,0.0,0.0,1.609823385706477e-15,1.7208456881689926e-15,4.996003610813204e-16,True
42,reversing,56,64,0,20,0.0,0.0,0.0,1.3877787807814457e-15,1.5543122344752192e-15,4.718447854656915e-16,True
43,reversing,60,60,0,20,0.0,0.0,0.0,1.609823385706477e-15,1.7208456881689926e-15,4.996003610813204e-16,True
44,reversing,60,60,0,20,0.0,0.0,0.0,1.887379141862766e-15,2.1094237467877974e-15,4.163336342344337e-16,True
45,preserving,68,52,20,0,0.0,0.0,0.0,1.6653345369377348e-15,1.8318679906315083e-15,3.608224830031759e-16,True
46,preserving,62,58,20,0,0.0,0.0,0.0,1.3322676295501878e-15,1.5543122344752192e-15,4.718447854656915e-16,True
47,preserving,54,66,20,0,0.0,0.0,0.0,1.609823385706477e-15,1.7208456881689926e-15,4.440892098500626e-16,True
48,preserving,64,56,20,0,0.0,0.0,0.0,1.3322676295501878e-15,1.5543122344752192e-15,5.551115123125783e-16,True
