start_id,s4,axis_s4_gap,projective_distance_to_axis_register,success,status,message,iteration_count,evaluation_count,f0,f1,f2,f3
111,1.5972222222222212,1.1102230246251565e-15,4.470348358154297e-08,False,2,Desired error not necessarily achieved due to precision loss.,15,125,-0.6623823792802541,0.7282104190933327,-0.16666663549950989,-0.056403916124821936
112,1.5972222222222214,8.881784197001252e-16,3.332000937312528e-08,False,2,Desired error not necessarily achieved due to precision loss.,15,100,0.6223394890987543,0.7619318202633706,-0.1666666859200247,0.06614890311172206
113,1.5972222222222237,-1.3322676295501878e-15,0.0,True,0,Optimization terminated successfully.,15,110,5.150193177704197e-09,4.346779003370741e-09,1.0,2.1742860847282072e-09
114,1.5972222222222212,1.1102230246251565e-15,4.2146848510894035e-08,False,2,Desired error not necessarily achieved due to precision loss.,13,130,0.6934929797860478,0.3952414750895242,0.1666666467676551,-0.5788556747685479
115,1.597222222222223,-6.661338147750939e-16,1.4901161193847656e-08,False,2,Desired error not necessarily achieved due to precision loss.,12,100,-0.08670876626975413,-0.19503555472483067,0.16666665981434878,0.9626343785422806
116,1.597222222222222,2.220446049250313e-16,2.5809568279517847e-08,False,2,Desired error not necessarily achieved due to precision loss.,13,472,0.62233950083941,0.761931810690891,-0.16666669579447504,0.06614887803437308
117,1.5972222222222217,6.661338147750939e-16,2.5809568279517847e-08,False,2,Desired error not necessarily achieved due to precision loss.,16,392,0.5912289110877071,-0.3615200437087868,-0.16666667556975975,0.7014084772408767
118,1.5972222222222212,1.1102230246251565e-15,2.1073424255447017e-08,False,2,Desired error not necessarily achieved due to precision loss.,17,100,-0.05559820758496314,0.9284162935238068,0.16666668157502554,0.32737477374658086
119,1.5972222222222234,-1.1102230246251565e-15,1.4901161193847656e-08,False,2,Desired error not necessarily achieved due to precision loss.,11,316,-1.2194805928261642e-08,-6.993083647408042e-09,0.9999999999999999,8.868156146683388e-09
120,1.5972222222222219,4.440892098500626e-16,2.5809568279517847e-08,False,2,Desired error not necessarily achieved due to precision loss.,14,220,-0.6623823940886996,0.7282104052597819,-0.16666664776076298,-0.05640388459048534
121,1.597222222222223,-6.661338147750939e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,17,317,-0.606784212332399,-0.20020590302893795,0.6666666566729766,-0.38377869265631886
122,1.5972222222222214,8.881784197001252e-16,4.2146848510894035e-08,False,2,Desired error not necessarily achieved due to precision loss.,10,65,-0.6067842271832371,-0.20020588142183682,0.6666666423661083,-0.383778705300394
123,1.5972222222222214,8.881784197001252e-16,3.650024149988857e-08,False,2,Desired error not necessarily achieved due to precision loss.,12,80,0.6934929529491421,0.3952414350410315,0.166666653709971,-0.5788557322664307
124,1.597222222222222,2.220446049250313e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,11,115,0.6779376776437275,-0.1664844774880649,0.6666666704407894,-0.2612259070420609
125,1.597222222222223,-6.661338147750939e-16,2.5809568279517847e-08,False,2,Desired error not necessarily achieved due to precision loss.,13,100,0.5912289427198468,-0.3615200245072763,-0.1666666794044995,0.7014084595632621
126,1.5972222222222232,-8.881784197001252e-16,1.4901161193847656e-08,False,2,Desired error not necessarily achieved due to precision loss.,13,90,-0.07115348369993324,0.3666903853261763,0.6666666654211953,0.6450045738464865
127,1.5972222222222232,-8.881784197001252e-16,1.4901161193847656e-08,False,2,Desired error not necessarily achieved due to precision loss.,12,65,0.5912289337724691,-0.3615200245782581,-0.16666665049569362,0.7014084739377986
128,1.5972222222222228,-4.440892098500626e-16,1.4901161193847656e-08,False,2,Desired error not necessarily achieved due to precision loss.,14,135,-0.08670876884647147,-0.1950355550312655,0.16666664930607467,0.9626343800674592
129,1.5972222222222192,3.1086244689504383e-15,6.828569911354542e-08,False,2,Desired error not necessarily achieved due to precision loss.,18,185,-0.662382381104254,0.7282104173782962,-0.16666662402135188,-0.056403950763328756
130,1.597222222222219,3.3306690738754696e-15,6.143906154658885e-08,False,2,Desired error not necessarily achieved due to precision loss.,11,183,-0.6623823732802553,0.7282104295494088,-0.1666666234072065,-0.05640388732279731
131,1.5972222222222232,-8.881784197001252e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,11,90,0.591228932371412,-0.36152000750652336,-0.16666667472401459,0.701408478160824
132,1.597222222222223,-6.661338147750939e-16,0.0,False,2,Desired error not necessarily achieved due to precision loss.,16,282,-0.08670877137197984,-0.19503554895307026,0.16666666673951078,0.9626343780530993
