first_line,second_line,signed_gram,absolute_gram,absolute_rational
13,17,0.24999999999999833,0.24999999999999833,1/4
13,18,0.7500000000000027,0.7500000000000027,3/4
13,19,-7.755066846277114e-16,7.755066846277114e-16,0
13,20,0.7500000000000006,0.7500000000000006,3/4
13,21,0.2500000000000023,0.2500000000000023,1/4
13,22,-0.2499999999999987,0.2499999999999987,1/4
13,23,0.5590169943749478,0.5590169943749478,51841/92736
13,24,-0.25000000000000283,0.25000000000000283,1/4
13,25,0.2499999999999992,0.2499999999999992,1/4
13,26,0.5590169943749472,0.5590169943749472,28980/51841
13,27,-0.24999999999999925,0.24999999999999925,1/4
13,28,0.5590169943749481,0.5590169943749481,51841/92736
13,29,0.25000000000000216,0.25000000000000216,1/4
14,15,0.5590169943749473,0.5590169943749473,28980/51841
14,16,-0.5590169943749476,0.5590169943749476,51841/92736
14,17,4.1480783126228323e-16,4.1480783126228323e-16,0
14,18,7.962344849026534e-16,7.962344849026534e-16,0
14,19,-0.5590169943749475,0.5590169943749475,51841/92736
14,20,0.5590169943749473,0.5590169943749473,28980/51841
14,21,-0.5590169943749476,0.5590169943749476,51841/92736
14,22,8.280394206736076e-16,8.280394206736076e-16,0
14,23,0.24999999999999883,0.24999999999999883,1/4
14,24,0.5590169943749476,0.5590169943749476,51841/92736
14,25,0.5590169943749475,0.5590169943749475,51841/92736
14,26,-0.24999999999999994,0.24999999999999994,1/4
14,27,-0.5590169943749469,0.5590169943749469,28980/51841
14,28,0.2500000000000002,0.2500000000000002,1/4
14,29,0.5590169943749481,0.5590169943749481,51841/92736
15,16,0.25000000000000017,0.25000000000000017,1/4
15,17,0.2499999999999993,0.2499999999999993,1/4
15,18,-0.24999999999999825,0.24999999999999825,1/4
15,19,8.09312787039904e-16,8.09312787039904e-16,0
15,20,0.2500000000000022,0.2500000000000022,1/4
15,21,-0.25000000000000044,0.25000000000000044,1/4
15,22,0.7500000000000014,0.7500000000000014,3/4
15,23,-0.5590169943749471,0.5590169943749471,28980/51841
15,24,0.7499999999999984,0.7499999999999984,3/4
15,25,0.7499999999999987,0.7499999999999987,3/4
15,26,-0.5590169943749476,0.5590169943749476,51841/92736
15,27,0.2500000000000018,0.2500000000000018,1/4
15,28,0.5590169943749478,0.5590169943749478,51841/92736
15,29,0.25000000000000255,0.25000000000000255,1/4
16,17,-0.2500000000000007,0.2500000000000007,1/4
16,18,-0.25000000000000167,0.25000000000000167,1/4
16,19,0.2500000000000003,0.2500000000000003,1/4
16,20,-0.24999999999999947,0.24999999999999947,1/4
16,21,0.24999999999999875,0.24999999999999875,1/4
16,22,0.749999999999999,0.749999999999999,3/4
16,23,-0.5590169943749462,0.5590169943749462,28980/51841
16,24,2.756563911488067e-16,2.756563911488067e-16,0
16,25,-0.2500000000000012,0.2500000000000012,1/4
16,26,-0.559016994374948,0.559016994374948,51841/92736
16,27,0.7499999999999999,0.7499999999999999,3/4
