target,coefficient_id,monomial,target_coefficient,candidate_coefficient,residual
e4_residual_1_over_16,50,f0^3*f2^5,-7.763505710057944e-05,-7.76350570999692e-05,6.102431927834662e-16
e4_residual_1_over_16,51,f0^3*f2^4*f3,-1.871658031024218e-05,-1.8716580309324088e-05,9.180922352653581e-16
e4_residual_1_over_16,52,f0^3*f2^3*f3^2,0.00018925745790434887,0.0001892574579038678,-4.810605039318183e-16
e4_residual_1_over_16,53,f0^3*f2^2*f3^3,6.652674678599197e-05,6.652674678715319e-05,1.1612211843134435e-15
e4_residual_1_over_16,54,f0^3*f2*f3^4,0.0002647194014437917,0.00026471940144321,-5.816744655384731e-16
e4_residual_1_over_16,55,f0^3*f3^5,-6.7877140939909595e-06,-6.78771409221847e-06,1.7724892869630873e-15
e4_residual_1_over_16,56,f0^2*f1^6,-1.7001863123484193e-05,-1.700186313223487e-05,-8.750677049293443e-15
e4_residual_1_over_16,57,f0^2*f1^5*f2,0.00040011924341740645,0.0004001192434099299,-7.47654976124279e-15
e4_residual_1_over_16,58,f0^2*f1^5*f3,3.24533115852781e-05,3.245331157427126e-05,-1.1006840783863575e-14
e4_residual_1_over_16,59,f0^2*f1^4*f2^2,0.0010518179213038989,0.001051817921303314,-5.848186518386811e-16
e4_residual_1_over_16,60,f0^2*f1^4*f2*f3,0.00027451542100543464,0.00027451542100230184,-3.132802177396865e-15
e4_residual_1_over_16,61,f0^2*f1^4*f3^2,0.0005721988039416805,0.0005721988039383389,-3.3416195158175732e-15
e4_residual_1_over_16,62,f0^2*f1^3*f2^3,0.0009223238645844737,0.0009223238645832933,-1.1804793254022172e-15
e4_residual_1_over_16,63,f0^2*f1^3*f2^2*f3,-0.0003173127342789518,-0.00031731273427949223,-5.404205728753997e-16
e4_residual_1_over_16,64,f0^2*f1^3*f2*f3^2,-7.958576149240207e-05,-7.958576149618827e-05,-3.786196616645254e-15
e4_residual_1_over_16,65,f0^2*f1^3*f3^3,0.0008768602976008435,0.000876860297599591,-1.2524703496552547e-15
e4_residual_1_over_16,66,f0^2*f1^2*f2^4,0.0013768886959676834,0.0013768886959690024,1.3190403630458647e-15
e4_residual_1_over_16,67,f0^2*f1^2*f2^3*f3,0.0011217730836922313,0.0011217730836925515,3.20273321752218e-16
e4_residual_1_over_16,68,f0^2*f1^2*f2^2*f3^2,0.002110283355911199,0.0021102833559132647,2.065621979019383e-15
e4_residual_1_over_16,69,f0^2*f1^2*f2*f3^3,0.0008476800187679204,0.000847680018767951,3.0574501264091225e-17
e4_residual_1_over_16,70,f0^2*f1^2*f3^4,0.0009665515028976371,0.0009665515028979183,2.811336233254913e-16
e4_residual_1_over_16,71,f0^2*f1*f2^5,0.0003935431471698025,0.0003935431471692586,-5.438900198273533e-16
e4_residual_1_over_16,72,f0^2*f1*f2^4*f3,-0.0006760477144498431,-0.0006760477144494172,4.2587461335230614e-16
e4_residual_1_over_16,73,f0^2*f1*f2^3*f3^2,-0.000208636794948243,-0.00020863679494738724,8.5576077474280865e-16
e4_residual_1_over_16,74,f0^2*f1*f2^2*f3^3,-7.5277664926988e-05,-7.527766492492621e-05,2.0617866138342156e-15
e4_residual_1_over_16,75,f0^2*f1*f2*f3^4,-0.00031601719268568136,-0.00031601719268357703,2.1043279965771156e-15
e4_residual_1_over_16,76,f0^2*f1*f3^5,0.0008523316023945812,0.0008523316023956328,1.0516761073109393e-15
e4_residual_1_over_16,77,f0^2*f2^6,0.00017813942005712592,0.0001781394200502232,-6.902708656400525e-15
